row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2025Triệu đồng,31.12.2024Triệu đồng,,
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,8.193.825,8.799.803,8193825.0,8799803.0
Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,4.335.458,4.258.748,4335458.0,4258748.0
"Thu từ dịch vụ tư vấn, ủy thác và đại lý","Thu từ dịch vụ tư vấn, ủy thác và đại lý","Thu từ dịch vụ tư vấn, ủy thác và đại lý",1.199.396,1.193.884,1199396.0,1193884.0
Thu từ dịch vụ khác,Thu từ dịch vụ khác,Thu từ dịch vụ khác,2.658.971,3.347.171,2658971.0,3347171.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(3.605.639),(3.757.078),-3605639.0,-3757078.0
Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,(2.941.200),(3.093.439),-2941200.0,-3093439.0
"Chi về dịch vụ tư vấn, ủy thác và đại lý","Chi về dịch vụ tư vấn, ủy thác và đại lý","Chi về dịch vụ tư vấn, ủy thác và đại lý",(245),(571),-245.0,-571.0
Chi về dịch vụ khác,Chi về dịch vụ khác,Chi về dịch vụ khác,(664.194),(663.068),-664194.0,-663068.0
Lãi thuần,Lãi thuần,Lãi thuần,4.588.186,5.042.725,4588186.0,5042725.0
