row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025Triệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025Triệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,01,01,Thu nhập lãi và các khoản thu nhập tương tự nhận được,137.439.958,123.781.133,,,137439958.0,123781133.0,
02,02,02,Chi phí lãi và các chi phí tương tự đã trả,(70.438.478),(68.576.472),,,-70438478.0,-68576472.0,
03,03,03,Thu nhập từ hoạt động dịch vụ nhận được,4.632.264,5.319.355,,,4632264.0,5319355.0,
04,04,04,"Chênh lệch số tiền thực thu từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",3.145.477,4.113.387,,,3145477.0,4113387.0,
05,05,05,Chi phí khác,(261.421),(764.452),,,-261421.0,-764452.0,
06,06,06,"Tiền thu các khoản nợ đã được xử lý, bù đáp bằng nguồn dự phòng rủi ro",9.941.450,7.492.106,,,9941450.0,7492106.0,
07,07,07,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",(21.594.328),(19.807.374),,,-21594328.0,-19807374.0,
08,08,08,Tiền thuế TNDN thực nộp trong năm,(7.282.332),(5.821.627),,,-7282332.0,-5821627.0,
,,,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỒI VỀ TÀI SẢN VÀ VỐN LƯU ĐỘNG,55.582.590,45.736.056,,,55582590.0,45736056.0,
,,,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,,
09,09,09,(Tăng)/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,(20.290.402),7.434.799,,,-20290402.0,7434799.0,
10,10,10,Giảm/(tăng) các khoản về kinh doanh chứng khoán,2.229.308,(33.376.500),,,2229308.0,-33376500.0,
11,11,11,Tăng các công cụ tài chính phải sinh và các tài sản tài chính khác,(283.400),(18.075),,,-283400.0,-18075.0,
12,12,12,Tăng các khoản cho vay khách hàng,(267.060.624),(247.943.981),,,-267060624.0,-247943981.0,
13,13,13,"Giảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đáp các khoản tổn thất",(18.986.013),(18.417.106),,,-18986013.0,-18417106.0,
14,14,14,(Tăng)/giảm khác về tài sản hoạt động,(6.498.262),15.236.795,,,-6498262.0,15236795.0,
,,,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,,
15,15,15,(Giảm)/tăng các khoản nợ chính phủ và Ngân hàng Nhà nước Việt Nam,(9.691.747),132.469.999,,,-9691747.0,132469999.0,
16,16,16,"Tăng/(giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng khác",139.195.740,(27.898.561),,,139195740.0,-27898561.0,
17,17,17,Tăng tiền gửi của khách hàng,187.270.896,194.003.403,,,187270896.0,194003403.0,
18,18,18,Tăng phát hành giấy tờ có giá,22.176.762,36.477.863,,,22176762.0,36477863.0,
19,19,19,"Giảm vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",(83.945),(84.496),,,-83945.0,-84496.0,
20,20,20,Giảm các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(343.169),(136.437),,,-343169.0,-136437.0,
21,21,21,Giảm khác về công nợ hoạt động,(2.548.339),(1.535.988),,,-2548339.0,-1535988.0,
1,1,1,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH,80.669.395,101.947.771,,,80669395.0,101947771.0,
