row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2025 > Khấu hao trong năm,(529.534) > (37.882),(2.472.931) > (159.066),(3.002.465) > (196.948),numeric__(529.534) > (37.882),numeric__(2.472.931) > (159.066),numeric__(3.002.465) > (196.948)
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",9.514,1.197,10.711,9514.0,1197.0,10711.0
Giảm khác,Giảm khác,Giảm khác,-,2.748,2.748,,2748.0,2748.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(557.902),(2.628.052),(3.185.954),-557902.0,-2628052.0,-3185954.0
