row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu Triệu đồng,Thặng dư vốn cổ phần Triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,Quỹ dự phòng tài chính Triệu đồng,Quỹ đầu tư phát triển Triệu đồng,Lợi nhuận sau thuế chưa phân phối Triệu đồng,Tổng cộng Triệu đồng,numeric__Vốn góp của chủ sở hữu Triệu đồng,numeric__Thặng dư vốn cổ phần Triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,numeric__Quỹ dự phòng tài chính Triệu đồng,numeric__Quỹ đầu tư phát triển Triệu đồng,numeric__Lợi nhuận sau thuế chưa phân phối Triệu đồng,numeric__Tổng cộng Triệu đồng
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,53.699.917,8.969.827,6.214.774,12.403.363,-,40.463.950,121.751.831,53699917.0,8969827.0,6214774.0,12403363.0,,40463950.0,121751831.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,24.259.028,24.259.028,,,,,,24259028.0,24259028.0
Điều chính trích lập quỹ của năm trước,Điều chính trích lập quỹ của năm trước,Điều chính trích lập quỹ của năm trước,-,-,972.554,(286),389.079,(1.351.347),-,,,972554.0,-286.0,389079.0,-1351347.0,
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,2.425.903,2.425.903,-,(4.851.806),-,,,2425903.0,2425903.0,,-4851806.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,(2.608.882),(2.608.882),,,,,,-2608882.0,-2608882.0
Các thay đổi khác,Các thay đổi khác,Các thay đổi khác,-,-,-,-,-,(258.190),(258.190),,,,,,-258190.0,-258190.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,53.699.917,8.969.827,9.613.231,14.828.980,389.079,55.642.753,143.143.787,53699917.0,8969827.0,9613231.0,14828980.0,389079.0,55642753.0,143143787.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,32.906.427,32.906.427,,,,,,32906427.0,32906427.0
Phát hành cổ phiếu để trả cổ tức từ lợi nhuận sau thuế chưa phân phối (i),Phát hành cổ phiếu để trả cổ tức từ lợi nhuận sau thuế chưa phân phối (i),Phát hành cổ phiếu để trả cổ tức từ lợi nhuận sau thuế chưa phân phối (i),23.969.529,-,-,-,-,(23.969.529),-,23969529.0,,,,,-23969529.0,
Chia cổ tức (ii),Chia cổ tức (ii),Chia cổ tức (ii),-,-,-,-,-,(2.416.496),(2.416.496),,,,,,-2416496.0,-2416496.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,3.290.642,2.961.578,-,(6.252.220),-,,,3290642.0,2961578.0,,-6252220.0,
"Trích lập quỹ khen thưởng, phúc lợi (iii)","Trích lập quỹ khen thưởng, phúc lợi (iii)","Trích lập quỹ khen thưởng, phúc lợi (iii)",-,-,-,-,-,(1.258.441),(1.268.441),,,,,,-1258441.0,-1268441.0
Các thay đổi khác,Các thay đổi khác,Các thay đổi khác,-,-,-,-,-,22.078,22.078,,,,,,22078.0,22078.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,77.669.446,8.969.827,12.903.873,17.790.558,389.079,54.664.572,172.387.355,77669446.0,8969827.0,12903873.0,17790558.0,389079.0,54664572.0,172387355.0
