row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,EUR quy đổi,USD quy đổi,Ngoại tệ khácđược quy đổi,Tổng cộng,numeric__EUR quy đổi,numeric__USD quy đổi,numeric__Ngoại tệ khácđược quy đổi,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",254.872,1.044.540,108.784,1.408.196,254872.0,1044540.0,108784.0,1408196.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,6.475,9.309.232,,9.315.707,6475.0,9309232.0,,9315707.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),1.247.608,83.359.404,100.822.493,185.429.505,1247608.0,83359404.0,100822493.0,185429505.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),1.623.350,78.478.588,120.736,80.222.674,1623350.0,78478588.0,120736.0,80222674.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,30.487,,,30.487,30487.0,,,30487.0
Các tài sản Có khác (*),Tài sản > Các tài sản Có khác (*),Các tài sản Có khác (*),1.514.792,504.572,62.740,2.082.104,1514792.0,504572.0,62740.0,2082104.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.677.584,172.696.336,101.114.753,278.488.673,4677584.0,172696336.0,101114753.0,278488673.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,241.119,26.154.081,73.637.211,100.232.411,241119.0,26154081.0,73637211.0,100232411.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,2.571.935,95.313.801,1.498.295,99.384.031,2571935.0,95313801.0,1498295.0,99384031.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,426.154,41.707.688,25.614.713,67.748.555,426154.0,41707688.0,25614713.0,67748555.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",121.921,1.555.007,,1.676.928,121921.0,1555007.0,,1676928.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,71,,71,,71.0,,71.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,951.598,678.381,112.728,1.742.707,951598.0,678381.0,112728.0,1742707.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,4.312.727,165.409.029,101.062.947,270.784.703,4312727.0,165409029.0,101062947.0,270784703.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,364.857,7.287.307,51.806,7.703.970,364857.0,7287307.0,51806.0,7703970.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(17.875),(5.915.889),(1.811),(5.935.575),-17875.0,-5915889.0,-1811.0,-5935575.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",346.982,1.371.418,49.995,1.768.395,346982.0,1371418.0,49995.0,1768395.0
