row_label_raw,row_label_full,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Vốn khác của chủ sở hữu (Trình bày lại),Lợi nhuận sau thuế chưa phân phối (Trình bày lại),Tổng,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Vốn khác của chủ sở hữu (Trình bày lại),numeric__Lợi nhuận sau thuế chưa phân phối (Trình bày lại),numeric__Tổng,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
1.246.198.090.000,VND > 1.246.198.090.000,1.246.198.090.000,7.652.995.729,(300.150.000),-,34.572.210.000,1.163.397.641.027,2.451.520.786.756,187.335.847.504,2.638.856.634.260,7652995729.0,-300150000.0,,34572210000.0,1163397641027.0,2451520786756.0,187335847504.0,2638856634260.0
-,VND > -,-,-,-,-,-,884.375.988.420,884.375.988.420,92.486.704.525,976.862.692.945,,,,,884375988420.0,884375988420.0,92486704525.0,976862692945.0
-,VND > -,-,-,-,131.972.384.482,-,(131.972.384.482),-,(8.068.367.764),(8.068.367.764),,,131972384482.0,,-131972384482.0,,-8068367764.0,-8068367764.0
-,VND > -,-,-,-,-,-,(99.651.672.838),(99.651.672.838),-,(99.651.672.838),,,,,-99651672838.0,-99651672838.0,,-99651672838.0
124.588.000.000,VND > 124.588.000.000,124.588.000.000,-,-,-,-,(124.588.000.000),-,-,-,,,,,-124588000000.0,,,
-,VND > -,-,-,-,-,-,(386.228.182.000),(386.228.182.000),(45.699.496.000),(431.927.678.000),,,,,-386228182000.0,-386228182000.0,-45699496000.0,-431927678000.0
-,VND > -,-,-,-,-,-,(769.141.573),(769.141.573),(24.349.930.943),(25.119.072.516),,,,,-769141573.0,-769141573.0,-24349930943.0,-25119072516.0
1.370.786.090.000,VND > 1.370.786.090.000,1.370.786.090.000,7.652.995.729,(300.150.000),131.972.384.482,34.572.210.000,1.304.564.248.554,2.849.247.778.765,201.704.757.322,3.050.952.536.087,7652995729.0,-300150000.0,131972384482.0,34572210000.0,1304564248554.0,2849247778765.0,201704757322.0,3050952536087.0
-,VND > -,-,-,-,-,-,872.344.968.203,872.344.968.203,102.279.297.110,974.624.265.313,,,,,872344968203.0,872344968203.0,102279297110.0,974624265313.0
-,VND > -,-,-,-,114.906.794.590,-,(114.906.794.590),-,-,-,,,114906794590.0,,-114906794590.0,,,
-,VND > -,-,-,-,-,-,(91.398.304.873),(91.398.304.873),(10.228.000.659),(101.626.305.532),,,,,-91398304873.0,-91398304873.0,-10228000659.0,-101626305532.0
137.046.500.000,VND > 137.046.500.000,137.046.500.000,-,-,-,-,(137.046.500.000),-,-,-,,,,,-137046500000.0,,,
-,VND > -,-,-,-,-,-,(589.308.326.000),(589.308.326.000),(28.562.185.000),(617.870.511.000),,,,,-589308326000.0,-589308326000.0,-28562185000.0,-617870511000.0
-,VND > -,-,-,-,-,-,(4.395.927.722),(4.395.927.722),-,(4.395.927.722),,,,,-4395927722.0,-4395927722.0,,-4395927722.0
1.507.832.590.000,VND > 1.507.832.590.000,1.507.832.590.000,7.652.995.729,(300.150.000),246.879.179.072,34.572.210.000,1.239.853.363.572,3.036.490.188.373,265.193.868.773,3.301.684.057.146,7652995729.0,-300150000.0,246879179072.0,34572210000.0,1239853363572.0,3036490188373.0,265193868773.0,3301684057146.0
