row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1. Doanın thu bán hàng và cung cấp dịch vụ,1. Doanın thu bán hàng và cung cấp dịch vụ,1. Doanın thu bán hàng và cung cấp dịch vụ,01,23,7.677.901.203.174,6.693.694.162.232,1.0,23.0,7677901203174.0,6693694162232.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,23,26.541.460.346,27.226.010.566,2.0,23.0,26541460346.0,27226010566.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,7.651.359.742.828,6.666.468.151.666,10.0,,7651359742828.0,6666468151666.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,24,3.937.312.195.310,3.555.106.661.984,11.0,24.0,3937312195310.0,3555106661984.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,3.714.047.547.518,3.111.361.489.682,20.0,,3714047547518.0,3111361489682.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,26,149.685.869.073,162.661.202.245,21.0,26.0,149685869073.0,162661202245.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,27,121.507.804.809,154.892.015.179,22.0,27.0,121507804809.0,154892015179.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,118.843.999.299,150.789.690.933,23.0,,118843999299.0,150789690933.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,,683.624.741.456,593.914.795.407,25.0,,683624741456.0,593914795407.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,,1.819.952.701.885,1.335.790.764.247,26.0,,1819952701885.0,1335790764247.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,1.238.648.168.441,1.189.425.117.094,30.0,,1238648168441.0,1189425117094.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,17.560.716.363,7.609.927.914,31.0,,17560716363.0,7609927914.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,39.287.160.986,4.278.912.737,32.0,,39287160986.0,4278912737.0
13. (Lỗ)/Lợi nhuận khác (40=31-32),13. (Lỗ)/Lợi nhuận khác (40=31-32),13. (Lỗ)/Lợi nhuận khác (40=31-32),40,,(21.726.444.623),3.331.015.177,40.0,,-21726444623.0,3331015177.0
14. Tổng lợi nhuận kể toán trước thuế (50=30+40),14. Tổng lợi nhuận kể toán trước thuế (50=30+40),14. Tổng lợi nhuận kể toán trước thuế (50=30+40),50,,1.216.921.723.818,1.192.756.132.271,50.0,,1216921723818.0,1192756132271.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,28,218.099.076.381,199.184.382.133,51.0,28.0,218099076381.0,199184382133.0
16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,28,24.198.382.124,16.709.057.193,52.0,28.0,24198382124.0,16709057193.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,974.624.265.313,976.862.692.945,60.0,,974624265313.0,976862692945.0
17.1. Lợi nhuận sau thuế của cổ đông công ty mẹ,17.1. Lợi nhuận sau thuế của cổ đông công ty mẹ,17.1. Lợi nhuận sau thuế của cổ đông công ty mẹ,61,,872.344.968.203,884.375.988.420,61.0,,872344968203.0,884375988420.0
17.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,17.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,17.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,102.279.297.110,92.486.704.525,62.0,,102279297110.0,92486704525.0
18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,70,29,5.180,5.205,70.0,29.0,5180.0,5205.0
