row_label_raw,row_label_full,col_0,Nhà xưởng và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản cố định khác,Tổng cộng,numeric__Nhà xưởng và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,154.321.645.565,5.516.728.400.941,48.119.933.222,474.986.266.689,25.835.733.623,6.219.991.980.040,154321645565.0,5516728400941.0,48119933222.0,474986266689.0,25835733623.0,6219991980040.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,(7.298.527.397),1.102.719.074.079,(29.052.077.933),(117.164.664.446),(25.835.733.623),923.368.070.680,-7298527397.0,1102719074079.0,-29052077933.0,-117164664446.0,-25835733623.0,923368070680.0
Tăng do mua sắm,NGUYÊN GIÁ > Tăng do mua sắm,Tăng do mua sắm,-,855.367.270.785,2.106.209.091,62.066.615.439,-,919.540.095.315,,855367270785.0,2106209091.0,62066615439.0,,919540095315.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,2.945.094.057,-,-,-,2.945.094.057,,2945094057.0,,,,2945094057.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(7.298.527.397),244.406.709.237,(31.158.287.024),(180.114.161.193),(25.835.733.623),-,-7298527397.0,244406709237.0,-31158287024.0,-180114161193.0,-25835733623.0,
Điều chỉnh khác,NGUYÊN GIÁ > Điều chỉnh khác,Điều chỉnh khác,-,-,-,882.881.308,-,882.881.308,,,,882881308.0,,882881308.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,1.130.905.828.046,1.891.596.955,13.959.750.736,-,1.146.757.175.737,,1130905828046.0,1891596955.0,13959750736.0,,1146757175737.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,1.891.596.955,-,-,1.891.596.955,,,1891596955.0,,,1891596955.0
Thu hồi nhập kho,NGUYÊN GIÁ > Thu hồi nhập kho,Thu hồi nhập kho,-,239.425.321.330,-,13.959.750.736,-,253.385.072.066,,239425321330.0,,13959750736.0,,253385072066.0
Giảm do chuyển đổi hạ tầng,NGUYÊN GIÁ > Giảm do chuyển đổi hạ tầng,Giảm do chuyển đổi hạ tầng,-,891.480.506.716,-,-,-,891.480.506.716,,891480506716.0,,,,891480506716.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,147.023.118.168,5.488.541.646.974,17.176.258.334,343.861.851.507,-,5.996.602.874.983,147023118168.0,5488541646974.0,17176258334.0,343861851507.0,,5996602874983.0
