row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.888.658.352.866,1.888.658.352.866,1.640.034.151.642,2.495.564.902.990,1.033.127.601.518,1.033.127.601.518,1888658352866.0,1888658352866.0,1640034151642.0,2495564902990.0,1033127601518.0,1033127601518.0
Nợ dài hạn đến hạn trả (xem Thuyết minh số 18),Nợ dài hạn đến hạn trả (xem Thuyết minh số 18),Nợ dài hạn đến hạn trả (xem Thuyết minh số 18),205.522.936.759,205.522.936.759,344.121.420.210,479.645.173.327,69.999.183.642,69.999.183.642,205522936759.0,205522936759.0,344121420210.0,479645173327.0,69999183642.0,69999183642.0
Cộng,Cộng,Cộng,2.094.181.289.625,2.094.181.289.625,1.984.155.571.852,2.975.210.076.317,1.103.126.785.160,1.103.126.785.160,2094181289625.0,2094181289625.0,1984155571852.0,2975210076317.0,1103126785160.0,1103126785160.0
18. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,18. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,18. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,18. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,18. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,18. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,18. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,18. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,18. VAY VÀ NỘ THUÊ TÀI CHÍNH DÀI HẠN,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Số đầu năm,Số đầu năm,Phát sinh trong năm,Phát sinh trong năm,Số cuối năm,Số cuối năm,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay dài hạn,Chỉ tiêu > Vay dài hạn,Vay dài hạn,654.643.132.429,654.643.132.429,,479.645.173.327,174.997.959.102,174.997.959.102,654643132429.0,654643132429.0,,479645173327.0,174997959102.0,174997959102.0
Cộng,Chỉ tiêu > Cộng,Cộng,654.643.132.429,654.643.132.429,-,479.645.173.327,174.997.959.102,174.997.959.102,654643132429.0,654643132429.0,,479645173327.0,174997959102.0,174997959102.0
Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,,,,,,
,,,,,Số cuối năm,Số đầu năm,,,,,,,,
,,,,,VND,VND,,,,,,,,
Trong vòng một năm,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Trong vòng một năm,Trong vòng một năm,,,69.999.183.642,205.522.936.759,,,,,69999183642.0,205522936759.0,,
Trong năm thứ hai,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Trong năm thứ hai,Trong năm thứ hai,,,69.999.183.642,207.090.273.318,,,,,69999183642.0,207090273318.0,,
Từ năm thứ ba đến năm thứ năm,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Từ năm thứ ba đến năm thứ năm,Từ năm thứ ba đến năm thứ năm,,,34.999.591.818,242.029.922.352,,,,,34999591818.0,242029922352.0,,
,,,,,174.997.959.102,654.643.132.429,,,,,174997959102.0,654643132429.0,,
Trừ: số phải trả trong vòng 12 tháng,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Trừ: số phải trả trong vòng 12 tháng,Trừ: số phải trả trong vòng 12 tháng,,,69.999.183.642,205.522.936.759,,,,,69999183642.0,205522936759.0,,
(được trình bày ở phần nợ ngắn hạn),(được trình bày ở phần nợ ngắn hạn),(được trình bày ở phần nợ ngắn hạn),(được trình bày ở phần nợ ngắn hạn),(được trình bày ở phần nợ ngắn hạn),(được trình bày ở phần nợ ngắn hạn),(được trình bày ở phần nợ ngắn hạn),(được trình bày ở phần nợ ngắn hạn),(được trình bày ở phần nợ ngắn hạn),,,,,,
Số phải trả sau 12 tháng,(được trình bày ở phần nợ ngắn hạn) > Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,,,104.998.775.460,449.120.195.670,,,,,104998775460.0,449120195670.0,,
