row_label_raw,row_label_full,Chi tiêu,Số đầu năm(Trình bày lại),Phát sinh trong năm > Số phải thu/nộp,Phát sinh trong năm > Số đã thu/nộp hoặc bù trừ,Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Phát sinh trong năm > Số phải thu/nộp,numeric__Phát sinh trong năm > Số đã thu/nộp hoặc bù trừ,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế giá trị gia tăng,a) Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,5.378.431.350,793.209.770,5.378.431.350,793.209.770,5378431350.0,793209770.0,5378431350.0,793209770.0
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,110.331.387.867,-,4.315.740.909,106.015.646.958,110331387867.0,,4315740909.0,106015646958.0
Các loại thuế khác,a) Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,405.675.392,178.512.069,484.328.914,99.858.547,405675392.0,178512069.0,484328914.0,99858547.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,116.115.494.609,971.721.839,10.178.501.173,106.908.715.275,116115494609.0,971721839.0,10178501173.0,106908715275.0
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giá trị gia tăng,b) Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,23.421.117.205,458.884.529.754,461.758.520.334,20.547.126.625,23421117205.0,458884529754.0,461758520334.0,20547126625.0
- Thuế GTGT đầu ra,b) Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,23.421.117.205,351.119.539.994,353.993.530.574,20.547.126.625,23421117205.0,351119539994.0,353993530574.0,20547126625.0
- Thuế GTGT hàng nhập khẩu,b) Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,107.764.989.760,107.764.989.760,-,,107764989760.0,107764989760.0,
Thuế nhập khẩu,b) Các khoản phải trả > Thuế nhập khẩu,Thuế nhập khẩu,-,8.124.582.604,8.124.582.604,-,,8124582604.0,8124582604.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,204.647.346.158,218.099.076.381,382.768.241.758,39.978.180.781,204647346158.0,218099076381.0,382768241758.0,39978180781.0
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,2.403.957.479,48.373.689.314,46.098.577.122,4.679.069.671,2403957479.0,48373689314.0,46098577122.0,4679069671.0
- Thuế môn bài,b) Các khoản phải trả > - Thuế môn bài,- Thuế môn bài,-,173.000.000,173.000.000,-,,173000000.0,173000000.0,
- Thuế thu nhập cá nhân,b) Các khoản phải trả > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,2.061.056.998,39.275.670.468,37.200.514.085,4.136.213.381,2061056998.0,39275670468.0,37200514085.0,4136213381.0
- Thuế khác,b) Các khoản phải trả > - Thuế khác,- Thuế khác,342.900.481,8.925.018.846,8.725.063.037,542.856.290,342900481.0,8925018846.0,8725063037.0,542856290.0
Các khoản phải nộp khác,b) Các khoản phải trả > Các khoản phải nộp khác,Các khoản phải nộp khác,-,685.569,685.569,-,,685569.0,685569.0,
Cộng,b) Các khoản phải trả > Cộng,Cộng,230.472.420.842,733.482.563.622,898.750.607.387,65.204.377.077,230472420842.0,733482563622.0,898750607387.0,65204377077.0
