row_label_raw,row_label_full,Chi tiêu,Số năm trước(trình bày lại sau phần số liều so sánh),Số năm trước(trình bày lại sau điều chỉnh hồi tố),Điều chỉnh hồi tố,numeric__Số năm trước(trình bày lại sau phần số liều so sánh),numeric__Số năm trước(trình bày lại sau điều chỉnh hồi tố),numeric__Điều chỉnh hồi tố
Chi tiêu,Chi tiêu,Chi tiêu,VND,VND,VND,,,
BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẮT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẮT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẮT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẮT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẮT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẮT,,,
C. NỘ PHÁI TRẢ,C. NỘ PHÁI TRẢ,C. NỘ PHÁI TRẢ,C. NỘ PHÁI TRẢ,C. NỘ PHÁI TRẢ,C. NỘ PHÁI TRẢ,,,
3. Thuế và các khoản phải nộp Nhà nước,C. NỘ PHÁI TRẢ > 3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,79.648.280.548,230.472.420.842,150.824.140.294,79648280548.0,230472420842.0,150824140294.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,,,
5. Lợi nhuận sau thuế chưa phân phối,5. Lợi nhuận sau thuế chưa phân phối,5. Lợi nhuận sau thuế chưa phân phối,,,,,,
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,5. Lợi nhuận sau thuế chưa phân phối > - Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,906.566.183.299,789.457.692.081,117.108.491.218,906566183299.0,789457692081.0,117108491218.0
- Lợi nhuận sau thuế chưa phân phối năm nay,5. Lợi nhuận sau thuế chưa phân phối > - Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,548.822.205.549,515.106.556.473,33.715.649.076,548822205549.0,515106556473.0,33715649076.0
BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẮT,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẮT,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẮT,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẮT,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẮT,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẮT,,,
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẮT > 15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,165.468.733.057,199.184.382.133,33.715.649.076,165468733057.0,199184382133.0,33715649076.0
17.1. Lợi nhuận sau thuế của cổ đông công ty mẹ,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẮT > 17.1. Lợi nhuận sau thuế của cổ đông công ty mẹ,17.1. Lợi nhuận sau thuế của cổ đông công ty mẹ,918.091.637.496,884.375.988.420,(33.715.649.076),918091637496.0,884375988420.0,-33715649076.0
18. Lãi cơ bản trên cổ phiếu,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẮT > 18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,5.972,5.726,246,5972.0,5726.0,246.0
