row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.216.921.723.818,1.192.756.132.271,1216921723818.0,1192756132271.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,,,,
Trừ,Trừ,Trừ,,,,
- Thu nhập không chịu thuế,Trừ > - Thu nhập không chịu thuế,- Thu nhập không chịu thuế,(4.386.843.934),(4.529.597.290),-4386843934.0,-4529597290.0
- Doanh thu chưa thực hiện chuyển sang,Trừ > - Doanh thu chưa thực hiện chuyển sang,- Doanh thu chưa thực hiện chuyển sang,(128.002.148.207),(350.285.171.290),-128002148207.0,-350285171290.0
- Các khoản điều chỉnh làm giảm lợi nhuận trước thuế,Trừ > - Các khoản điều chỉnh làm giảm lợi nhuận trước thuế,- Các khoản điều chỉnh làm giảm lợi nhuận trước thuế,(13.237.317.465),-,-13237317465.0,
- Giá vốn tương ứng doanh thu chưa thực hiện chuyển sang,Trừ > - Giá vốn tương ứng doanh thu chưa thực hiện chuyển sang,- Giá vốn tương ứng doanh thu chưa thực hiện chuyển sang,48.470.706.869,142.803.047.430,48470706869.0,142803047430.0
- Chuyển lỗ,Trừ > - Chuyển lỗ,- Chuyển lỗ,(38.260.469.296),-,-38260469296.0,
Cộng,Cộng,Cộng,,,,
- Chi phí không được khấu trừ,Cộng > - Chi phí không được khấu trừ,- Chi phí không được khấu trừ,5.132.148.229,3.965.491.781,5132148229.0,3965491781.0
Thu nhập chịu thuế,Cộng > Thu nhập chịu thuế,Thu nhập chịu thuế,1.086.637.800.014,984.709.902.902,1086637800014.0,984709902902.0
Thuế suất thuế thu nhập doanh nghiệp,Cộng > Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,20%,20%,0.2,0.2
Thuế thu nhập doanh nghiệp,Cộng > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,217.327.560.003,267.866.575.548,217327560003.0,267866575548.0
Trừ: Thuế thu nhập doanh nghiệp được giảm trừ,Cộng > Trừ: Thuế thu nhập doanh nghiệp được giảm trừ,Trừ: Thuế thu nhập doanh nghiệp được giảm trừ,-,(68.682.193.415),,-68682193415.0
Thuế thu nhập FOC nộp thêm kỳ trước,Cộng > Thuế thu nhập FOC nộp thêm kỳ trước,Thuế thu nhập FOC nộp thêm kỳ trước,771.516.378,-,771516378.0,
Thuế thu nhập doanh nghiệp hiện hành,Cộng > Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,218.099.076.381,199.184.382.133,218099076381.0,199184382133.0
Thuế thu nhập doanh nghiệp hoãn lại (i),Cộng > Thuế thu nhập doanh nghiệp hoãn lại (i),Thuế thu nhập doanh nghiệp hoãn lại (i),24.198.382.124,16.709.057.193,24198382124.0,16709057193.0
