row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,4.260.886.629.966,4.534.820.123.793,100.0,,4260886629966.0,4534820123793.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,637.367.035.990,976.978.985.482,110.0,4.0,637367035990.0,976978985482.0
1. Tiền,1. Tiền,1. Tiền,111,,172.972.917.618,195.542.517.681,111.0,,172972917618.0,195542517681.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,464.394.118.372,781.436.467.801,112.0,,464394118372.0,781436467801.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,1.472.830.197.781,1.680.039.336.332,120.0,5.0,1472830197781.0,1680039336332.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,1.472.830.197.781,1.680.039.336.332,123.0,,1472830197781.0,1680039336332.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,836.927.904.216,808.599.128.890,130.0,,836927904216.0,808599128890.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,879.818.545.580,776.734.179.297,131.0,,879818545580.0,776734179297.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,31.422.108.098,42.405.677.207,132.0,,31422108098.0,42405677207.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,6,41.759.305.126,60.399.903.955,136.0,6.0,41759305126.0,60399903955.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,,(116.072.054.588),(70.940.631.569),137.0,,-116072054588.0,-70940631569.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,8,519.570.275.133,406.625.156.086,140.0,8.0,519570275133.0,406625156086.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,519.570.275.133,406.625.156.086,141.0,,519570275133.0,406625156086.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,794.191.216.846,662.577.517.003,150.0,,794191216846.0,662577517003.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,9,665.400.613.369,524.851.987.672,151.0,9.0,665400613369.0,524851987672.0
