row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước(Trình bày lại),numeric__Mã số,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
Thay đổi chi phí trả trước,2. Điều chỉnh cho các khoản: > Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,(129.223.543.657),147.190.457.915,12.0,-129223543657.0,147190457915.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(146.421.567.416),(128.163.032.934),14.0,-146421567416.0,-128163032934.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(382.768.241.758),(198.524.842.841),15.0,-382768241758.0,-198524842841.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,367.273.809,2.296.874.447,16.0,367273809.0,2296874447.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(4.395.927.722),(769.141.573),17.0,-4395927722.0,-769141573.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.751.278.960.050,1.592.888.095.113,20.0,1751278960050.0,1592888095113.0
II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,
"1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,(654.783.551.825),(1.002.565.371.908),21.0,-654783551825.0,-1002565371908.0
"2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,318.181.819,219.642.144,22.0,318181819.0,219642144.0
"3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,-,(614.420.696.061),23.0,,-614420696061.0
"4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",24,207.209.138.551,-,24.0,207209138551.0,
5. Tiền thu hồi đầu tư vốn vào đơn vị khác,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 5. Tiền thu hồi đầu tư vốn vào đơn vị khác,5. Tiền thu hồi đầu tư vốn vào đơn vị khác,26,-,11.289.755.636,26.0,,11289755636.0
"6. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 6. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","6. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",27,144.481.413.888,111.497.321.435,27.0,144481413888.0,111497321435.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(302.774.817.567),(1.493.979.348.754),30.0,-302774817567.0,-1493979348754.0
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
1. Tiền thu từ đi vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ đi vay,1. Tiền thu từ đi vay,33,1.640.034.151.642,2.971.812.214.509,33.0,1640034151642.0,2971812214509.0
2. Tiền trả nợ gốc vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả nợ gốc vay,2. Tiền trả nợ gốc vay,34,(2.975.210.076.317),(2.533.833.444.776),34.0,-2975210076317.0,-2533833444776.0
"3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(452.940.167.300),(294.992.676.900),36.0,-452940167300.0,-294992676900.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.788.116.091.975),142.986.092.833,40.0,-1788116091975.0,142986092833.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(339.611.949.492),241.894.839.192,50.0,-339611949492.0,241894839192.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,976.978.985.482,735.084.146.290,60.0,976978985482.0,735084146290.0
Tiền và tương đương tiền cuối năm (70=50+60),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60),Tiền và tương đương tiền cuối năm (70=50+60),70,637.367.035.990,976.978.985.482,70.0,637367035990.0,976978985482.0
