row_label_raw,row_label_full,Lợi nhuận trong năm phân bổ cho các cổ đông sở hữu cổ phiếu phổ thông của công ty mẹ (VND),Năm nay > 872.344.968.203,Năm trước(Trình bày lại) > 918.091.637.496,numeric__Năm nay > 872.344.968.203,numeric__Năm trước(Trình bày lại) > 918.091.637.496
"- Trích Quỹ Khen thưởng, phúc lợi từ lợi nhuận công ty mẹ theo Nghị quyết Đại hội đồng cổ đông (VND)","- Trích Quỹ Khen thưởng, phúc lợi từ lợi nhuận công ty mẹ theo Nghị quyết Đại hội đồng cổ đông (VND)","- Trích Quỹ Khen thưởng, phúc lợi từ lợi nhuận công ty mẹ theo Nghị quyết Đại hội đồng cổ đông (VND)",(91.398.304.873),(99.651.672.838),-91398304873.0,-99651672838.0
- Tăng/(Giảm) khác,- Tăng/(Giảm) khác,- Tăng/(Giảm) khác,-,(33.715.649.076),,-33715649076.0
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),780.946.663.330,784.724.315.582,780946663330.0,784724315582.0
Số cổ phiếu phổ thông bình quân lưu hành trong năm (cổ phiếu),Số cổ phiếu phổ thông bình quân lưu hành trong năm (cổ phiếu),Số cổ phiếu phổ thông bình quân lưu hành trong năm (cổ phiếu),150.753.244,150.753.244,150753244.0,150753244.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),5.180,5.205,5180.0,5205.0
