row_label_raw,row_label_full,b. Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Giá gốc > b. Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Dự phòng > b. Đầu tư góp vốn vào đơn vị khác,Số cuối năm > VND Giá trị hợp lý > b. Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Giá gốc > b. Đầu tư góp vốn vào đơn vị khác_1,Số cuối năm > Dự phòng > b. Đầu tư góp vốn vào đơn vị khác_1,Số đầu năm > VND Giá trị hợp lý > b. Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > Giá gốc > b. Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > Dự phòng > b. Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > VND Giá trị hợp lý > b. Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > Giá gốc > b. Đầu tư góp vốn vào đơn vị khác_1,numeric__Số cuối năm > Dự phòng > b. Đầu tư góp vốn vào đơn vị khác_1,numeric__Số đầu năm > VND Giá trị hợp lý > b. Đầu tư góp vốn vào đơn vị khác
"Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí",3.600.000.000,-,(ii),3.600.000.000,-,(ii),3600000000.0,,,3600000000.0,,
Công ty Cổ phần Chế biến Thủy sản Út Xi,Công ty Cổ phần Chế biến Thủy sản Út Xi,Công ty Cổ phần Chế biến Thủy sản Út Xi,16.902.000.000,(8.013.375.369),(ii),16.902.000.000,(4.464.706.831),(ii),16902000000.0,-8013375369.0,,16902000000.0,-4464706831.0,
,,,20.502.000.000,(8.013.375.369),(ii),20.502.000.000,(4.464.706.831),(ii),20502000000.0,-8013375369.0,,20502000000.0,-4464706831.0,
