row_label_raw,row_label_full,col_0,"Dự phòng sửa chữa,bảo dưỡng tổng thếcho Nhà máy Đạm Phú Mỹ","numeric__Dự phòng sửa chữa,bảo dưỡng tổng thếcho Nhà máy Đạm Phú Mỹ"
,,,VND,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,165.486.270.110,165486270110.0
Phân loại lại sang dự phòng phải trả ngắn hạn,Phân loại lại sang dự phòng phải trả ngắn hạn,Phân loại lại sang dự phòng phải trả ngắn hạn,(165.486.270.110),-165486270110.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,
