row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,654.776.859.274,8.084.699.933.871,162.799.407.017,8.247.499.340.888,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,654776859274.0,8084699933871.0,162799407017.0,8247499340888.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,3.117.133.794.101,3.117.133.794.101,54.382.506.458,3.171.516.300.559,,,,,3117133794101.0,3117133794101.0,54382506458.0,3171516300559.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(138.475.734.238),(138.475.734.238),(10.524.722.566),(149.000.456.804),,,,,-138475734238.0,-138475734238.0,-10524722566.0,-149000456804.0
Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,-,-,-,-,(547.867.964.000),(547.867.964.000),(8.987.500.000),(556.855.464.000),,,,,-547867964000.0,-547867964000.0,-8987500000.0,-556855464000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,3.085.566.955.137,10.515.490.029.734,197.669.690.909,10.713.159.720.643,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,3085566955137.0,10515490029734.0,197669690909.0,10713159720643.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,3.085.566.955.137,10.515.490.029.734,197.669.690.909,10.713.159.720.643,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,3085566955137.0,10515490029734.0,197669690909.0,10713159720643.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,5.564.877.377.993,5.564.877.377.993,20.013.908.250,5.584.891.286.243,,,,,5564877377993.0,5564877377993.0,20013908250.0,5584891286243.0
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(292.673.103.740),(292.673.103.740),(4.880.338.578),(297.553.442.318),,,,,-292673103740.0,-292673103740.0,-4880338578.0,-297553442318.0
Trả cổ tức bằng tiền mặt (ii),Trả cổ tức bằng tiền mặt (ii),Trả cổ tức bằng tiền mặt (ii),-,-,-,-,(1.956.671.300.000),(1.956.671.300.000),(26.387.500.000),(1.983.058.800.000),,,,,-1956671300000.0,-1956671300000.0,-26387500000.0,-1983058800000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,6.401.099.929.390,13.831.023.003.987,186.415.760.581,14.017.438.764.568,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,6401099929390.0,13831023003987.0,186415760581.0,14017438764568.0
