row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải nộptrong nămVND,Số đã thực nộptrong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải nộptrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Số cuối nămVND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhậpdoanh nghiệp,a. Các khoản phải thu > Thuế thu nhậpdoanh nghiệp,Thuế thu nhậpdoanh nghiệp,3.152.818.774,-,5.515.380.535,8.668.199.309,3152818774.0,,5515380535.0,8668199309.0
"Thuế xuất, nhập khẩu","a. Các khoản phải thu > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,-,15.482.225,15.482.225,,,15482225.0,15482225.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,98.916.250,,-,98.916.250,98916250.0,,,98916250.0
,,,3.251.735.024,-,5.530.862.760,8.782.597.784,3251735024.0,,5530862760.0,8782597784.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,9.451.788.991,143.906.656.465,148.513.620.016,4.844.825.440,9451788991.0,143906656465.0,148513620016.0,4844825440.0
- Thuế GTGT hàng bán nội địa,b. Các khoản phải trả > - Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,9.451.788.991,107.690.446.879,112.297.410.430,4.844.825.440,9451788991.0,107690446879.0,112297410430.0,4844825440.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,36.216.209.586,36.216.209.586,-,,36216209586.0,36216209586.0,
"Thuế xuất, nhập khẩu","b. Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",17.640.572.200,149.390.403.269,167.030.975.469,-,17640572200.0,149390403269.0,167030975469.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,352.291.850.635,1.129.400.312.150,1.203.573.485.502,278.118.677.283,352291850635.0,1129400312150.0,1203573485502.0,278118677283.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.754.017.726,92.697.868.739,88.980.933.992,13.470.952.473,9754017726.0,92697868739.0,88980933992.0,13470952473.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,337.015.194,3.851.250.344,3.847.825.058,340.440.480,337015194.0,3851250344.0,3847825058.0,340440480.0
Thuế bảo vệ môi trường và các loại thuế khác,b. Các khoản phải trả > Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,180.581.900,2.180.650.449,2.253.659.349,107.573.000,180581900.0,2180650449.0,2253659349.0,107573000.0
- Thuế bảo vệ môi trường,b. Các khoản phải trả > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,180.581.900,519.015.600,592.024.500,107.573.000,180581900.0,519015600.0,592024500.0,107573000.0
- Các loại thuế khác,b. Các khoản phải trả > - Các loại thuế khác,- Các loại thuế khác,-,1.661.634.849,1.661.634.849,-,,1661634849.0,1661634849.0,
,,,389.655.826.646,1.521.427.141.416,1.614.200.499.386,296.882.468.676,389655826646.0,1521427141416.0,1614200499386.0,296882468676.0
