row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.336.763.530.193,8.173.270.858.052,92.733.958.000,322.119.534.899,622.017.502.198,11.546.905.383.342,2336763530193.0,8173270858052.0,92733958000.0,322119534899.0,622017502198.0,11546905383342.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,801.676.827,17.548.196.727,5.089.976.502,17.382.543.268,3.639.715.825,44.462.109.149,801676827.0,17548196727.0,5089976502.0,17382543268.0,3639715825.0,44462109149.0
Chuyển sang công cụ dụng cụ,NGUYÊN GIÁ > Chuyển sang công cụ dụng cụ,Chuyển sang công cụ dụng cụ,-,-,-,(95.216.756.255),-,(95.216.756.255),,,,-95216756255.0,,-95216756255.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.637.856.157),(4.850.709.365),(1.606.091.043),(112.082.500),(8.206.739.065),,-1637856157.0,-4850709365.0,-1606091043.0,-112082500.0,-8206739065.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.337.565.207.020,8.189.181.198.622,92.973.225.137,242.679.230.869,625.545.135.523,11.487.943.997.171,2337565207020.0,8189181198622.0,92973225137.0,242679230869.0,625545135523.0,11487943997171.0
GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.527.094.652.174,6.404.658.494.858,79.902.594.330,281.582.778.056,370.177.065.061,8.663.415.584.479,1527094652174.0,6404658494858.0,79902594330.0,281582778056.0,370177065061.0,8663415584479.0
Khấu hao trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,110.150.356.790,256.170.849.316,3.716.335.389,27.065.428.231,93.717.608.664,490.820.578.390,110150356790.0,256170849316.0,3716335389.0,27065428231.0,93717608664.0,490820578390.0
Chuyển sang công cụ dụng cụ,GIÁ TRI HAO MÒN LỦY KẾ > Chuyển sang công cụ dụng cụ,Chuyển sang công cụ dụng cụ,-,-,-,(92.392.839.292),-,(92.392.839.292),,,,-92392839292.0,,-92392839292.0
"Thanh lý, nhượng bán","GIÁ TRI HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.637.856.157),(4.850.709.365),(1.606.091.043),(112.082.500),(8.206.739.065),,-1637856157.0,-4850709365.0,-1606091043.0,-112082500.0,-8206739065.0
Số dư cuối năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.637.245.008.964,6.659.191.488.017,78.768.220.354,214.649.275.952,463.782.591.225,9.053.636.584.512,1637245008964.0,6659191488017.0,78768220354.0,214649275952.0,463782591225.0,9053636584512.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,809.668.878.019,1.768.612.363.194,12.831.363.670,40.536.756.843,251.840.437.137,2.883.489.798.863,809668878019.0,1768612363194.0,12831363670.0,40536756843.0,251840437137.0,2883489798863.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,700.320.198.056,1.529.989.710.605,14.205.004.783,28.029.954.917,161.762.544.298,2.434.307.412.659,700320198056.0,1529989710605.0,14205004783.0,28029954917.0,161762544298.0,2434307412659.0
