row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,Chương trìnhphần mềm,Tài sản cố định khác,Cộng,numeric__Quyềnsử dụng đất,numeric__Chương trìnhphần mềm,numeric__Tài sản cố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,337.478.200,1.187.205.923,190.000.000,1.714.684.123,337478200.0,1187205923.0,190000000.0,1714684123.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,337.478.200,1.187.205.923,190.000.000,1.714.684.123,337478200.0,1187205923.0,190000000.0,1714684123.0
Trong đó: Đã khấu hao hếtnhưng vẫn còn sử dụng,Nguyên giá > Trong đó: Đã khấu hao hếtnhưng vẫn còn sử dụng,Trong đó: Đã khấu hao hếtnhưng vẫn còn sử dụng,-,1.187.205.923,-,1.187.205.923,,1187205923.0,,1187205923.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,317.950.673,1.183.872.591,60.166.672,1.561.989.936,317950673.0,1183872591.0,60166672.0,1561989936.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,16.873.908,3.333.332,38.000.005,58.207.245,16873908.0,3333332.0,38000005.0,58207245.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,334.824.581,1.187.205.923,98.166.677,1.620.197.181,334824581.0,1187205923.0,98166677.0,1620197181.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,19.527.527,3.333.332,129.833.328,152.694.187,19527527.0,3333332.0,129833328.0,152694187.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.653.619,-,91.833.323,94.486.942,2653619.0,,91833323.0,94486942.0
