row_label_raw,row_label_full,col_0,Lĩnh vực Xây lắp,Lĩnh vực Thủy điện,Lĩnh vực khác,Cộng,numeric__Lĩnh vực Xây lắp,numeric__Lĩnh vực Thủy điện,numeric__Lĩnh vực khác,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,8.692.059.997.668,139.217.307.768,12.646.341.441,8.843.923.646.877,8692059997668.0,139217307768.0,12646341441.0,8843923646877.0
Các tài sản không phân bổ theo bộ phận,Số cuối năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,-,-,-,6.288.734.164.457,,,,6288734164457.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,15.132.657.811.334,,,,15132657811334.0
Nợ phải trả trực tiếp của bộ phận,Số cuối năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,9.872.537.486.273,502.919.441.008,198.417.876.642,10.573.874.803.923,9872537486273.0,502919441008.0,198417876642.0,10573874803923.0
Nợ phải trả không phân bổ theo bộ phận,Số cuối năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,-,-,-,6.933.951.669,,,,6933951669.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,10.580.808.755.592,,,,10580808755592.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,9.022.987.316.381,70.827.586.298,30.778.613.689,9.124.593.516.368,9022987316381.0,70827586298.0,30778613689.0,9124593516368.0
Các tài sản không phân bổ theo bộ phận,Số đầu năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,6.528.042.219.108,,,,6528042219108.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,15.652.635.735.476,,,,15652635735476.0
Nợ phải trả trực tiếp của bộ phận,Số đầu năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,10.313.599.302.977,508.659.809.766,201.526.650.397,11.023.785.763.140,10313599302977.0,508659809766.0,201526650397.0,11023785763140.0
Nợ phải trả không phân bổ theo bộ phận,Số đầu năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,111.103.442.817,,,,111103442817.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,11.134.889.205.957,,,,11134889205957.0
