row_label_raw,row_label_full,Số cuối năm,Tổng nợ > Số cuối năm,Từ 1 nămtrở xuống > Số cuối năm,Trên 1 nămđến 5 năm > Số cuối năm,Trên 5 năm > Số cuối năm,numeric__Tổng nợ > Số cuối năm,numeric__Từ 1 nămtrở xuống > Số cuối năm,numeric__Trên 1 nămđến 5 năm > Số cuối năm,numeric__Trên 5 năm > Số cuối năm
Vay dài hạnngân hàng,Vay dài hạnngân hàng,Vay dài hạnngân hàng,2.999.619.415.345,677.211.688.587,380.773.419.930,1.941.634.306.828,2999619415345.0,677211688587.0,380773419930.0,1941634306828.0
Vay dài hạncác tổ chức khác,Vay dài hạncác tổ chức khác,Vay dài hạncác tổ chức khác,612.205.097.427,612.205.097.427,-,-,612205097427.0,612205097427.0,,
Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,1.033.381.589.416,-,1.033.381.589.416,-,1033381589416.0,,1033381589416.0,
Cộng,Cộng,Cộng,4.645.206.102.188,1.289.416.786.014,1.414.155.009.346,1.941.634.306.828,4645206102188.0,1289416786014.0,1414155009346.0,1941634306828.0
