row_label_raw,row_label_full,Số đầu năm,Năm nay > 59.135.637.653,Năm trước > -,numeric__Năm nay > 59.135.637.653,numeric__Năm trước > -
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,48.636.520.772,59.135.637.653,48636520772.0,59135637653.0
Số cuối năm,Số cuối năm,Số cuối năm,107.772.158.425,59.135.637.653,107772158425.0,59135637653.0
