row_label_raw,row_label_full,Số đầu năm,Năm nay > -,numeric__Năm nay > -
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,877.943.083,877943083.0
Số cuối năm,Số cuối năm,Số cuối năm,877.943.083,877943083.0
