row_label_raw,row_label_full,Tổng công ty nộp thuế giá trị gia tăng theo phương pháp khấu trừ. Thuế suất thuế giá trị gia tăng như sau:,Tổng công ty nộp thuế giá trị gia tăng theo phương pháp khấu trừ. Thuế suất thuế giá trị gia tăng như sau:_1,numeric__Tổng công ty nộp thuế giá trị gia tăng theo phương pháp khấu trừ. Thuế suất thuế giá trị gia tăng như sau:_1
"- Hoạt động xây lắp, bán điện","- Hoạt động xây lắp, bán điện","- Hoạt động xây lắp, bán điện",10%,0.1
- Hoạt động dịch vụ,- Hoạt động dịch vụ,- Hoạt động dịch vụ,10%,0.1
- Hoạt động cho thuê văn phòng,- Hoạt động cho thuê văn phòng,- Hoạt động cho thuê văn phòng,10%,0.1
- Hoạt động cho thuê xe ô tô,- Hoạt động cho thuê xe ô tô,- Hoạt động cho thuê xe ô tô,5%,0.05
- Hoạt động bán thiết bị nhập khẩu trong nước chưa sản xuất,- Hoạt động bán thiết bị nhập khẩu trong nước chưa sản xuất,- Hoạt động bán thiết bị nhập khẩu trong nước chưa sản xuất,0%,0.0
