row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyển từ vay và nợ dài hạn,Chênh lệch tỷ giá đánh giá lại,Số tiền vay đã trả trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển từ vay và nợ dài hạn,numeric__Chênh lệch tỷ giá đánh giá lại,numeric__Số tiền vay đã trả trong năm,numeric__Số cuối năm
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,310.778.496.409,625.208.308.863,-,-,(604.088.675.531),331.898.129.741,310778496409.0,625208308863.0,,,-604088675531.0,331898129741.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,286.231.063.848,316.972.912.130,-,-,(477.899.707.653),286.231.063.848,286231063848.0,316972912130.0,,,-477899707653.0,286231063848.0
Chi nhánh Sở Giao dịch I,Chi nhánh Sở Giao dịch I,Chi nhánh Sở Giao dịch I,53.894.031.990,171.281.057.362,-,-,(162.135.099.102),53.894.031.990,53894031990.0,171281057362.0,,,-162135099102.0,53894031990.0
Chi nhánh Hà Tây,Chi nhánh Hà Tây,Chi nhánh Hà Tây,232.337.031.858,145.691.854.768,-,-,(315.764.608.551),232.337.031.858,232337031858.0,145691854768.0,,,-315764608551.0,232337031858.0
Ngân hàng TMCP Bảo Việt,Ngân hàng TMCP Bảo Việt,Ngân hàng TMCP Bảo Việt,24.547.432.561,208.235.396.733,-,-,(106.188.967.878),-,24547432561.0,208235396733.0,,,-106188967878.0,
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,-,100.000.000.000,-,-,(20.000.000.000),24.547.432.561,,100000000000.0,,,-20000000000.0,24547432561.0
Vay ngắn hạn các tổ chức khác,Vay ngắn hạn các tổ chức khác,Vay ngắn hạn các tổ chức khác,253.299.254,-,-,-,(410.435),252.888.819,253299254.0,,,,-410435.0,252888819.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.371.178.510.406,-,150.707.716.312,(6.258.331.588),(226.211.109.116),1.289.416.786.014,1371178510406.0,,150707716312.0,-6258331588.0,-226211109116.0,1289416786014.0
Ngân hàng NIB,Ngân hàng NIB,Ngân hàng NIB,529.361.883.616,-,75.897.437.528,(2.893.554.287),-,602.365.766.857,529361883616.0,,75897437528.0,-2893554287.0,,602365766857.0
Ngân hàng Phát triển Châu Á-vay thông thường,Ngân hàng Phát triển Châu Á-vay thông thường,Ngân hàng Phát triển Châu Á-vay thông thường,64.993.999.298,-,71.594.251.790,,(64.992.860.979),71.595.390.109,64993999298.0,,71594251790.0,,-64992860979.0,71595390109.0
Ngân hàng Phát triển Châu Á-vay đặc biệt,Ngân hàng Phát triển Châu Á-vay đặc biệt,Ngân hàng Phát triển Châu Á-vay đặc biệt,3.277.058.205,-,3.216.026.994,,(3.242.553.578),3.250.531.621,3277058205.0,,3216026994.0,,-3242553578.0,3250531621.0
Ngân hàng Natixis,Ngân hàng Natixis,Ngân hàng Natixis,157.975.694.559,-,-,,(157.975.694.559),-,157975694559.0,,,,-157975694559.0,
Quỹ tích lũy nợ - Bộ Tài chính,Quỹ tích lũy nợ - Bộ Tài chính,Quỹ tích lũy nợ - Bộ Tài chính,615.569.874.728,-,,(3.364.777.301),-,612.205.097.427,615569874728.0,,,-3364777301.0,,612205097427.0
Cộng,Cộng,Cộng,1.682.210.306.069,625.208.308.863,150.707.716.312,(6.258.331.588),(830.300.195.082),1.621.567.804.574,1682210306069.0,625208308863.0,150707716312.0,-6258331588.0,-830300195082.0,1621567804574.0
