row_label_raw,row_label_full,col_0,Lĩnh vực Xây lắp,Lĩnh vực Thủy điện,Lĩnh vực khác,Cộng,numeric__Lĩnh vực Xây lắp,numeric__Lĩnh vực Thủy điện,numeric__Lĩnh vực khác,numeric__Cộng
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(123.324.639.226),,,,-123324639226.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,(68.832.104.584),,,,-68832104584.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,529.125.230.312,,,,529125230312.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(329.335.456.277),,,,-329335456277.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,4.023.367.582,,,,4023367582.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,(94.825.354.500),,,,-94825354500.0
Chi phí thuê thu nhập doanh nghiệp hiện hành,Chi phí thuê thu nhập doanh nghiệp hiện hành,Chi phí thuê thu nhập doanh nghiệp hiện hành,,,,-,,,,
Chi phí thuê thu nhập doanh nghiệp hoãn lại,Chi phí thuê thu nhập doanh nghiệp hoãn lại,Chi phí thuê thu nhập doanh nghiệp hoãn lại,,,,-,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuê thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,40.155.682.533,,,,40155682533.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuê thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,(3.722.078.788),(3.722.078.788),,,-3722078788.0,-3722078788.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuê thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,(31.395.545.341),,(6.775.569.794),(38.171.115.135),-31395545341.0,,-6775569794.0,-38171115135.0
Năm trước,Năm trước,Năm trước,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,960.167.322.927,355.464.873.846,232.457.310.746,1.548.089.507.519,960167322927.0,355464873846.0,232457310746.0,1548089507519.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,960.167.322.927,355.464.873.846,232.457.310.746,1.548.089.507.519,960167322927.0,355464873846.0,232457310746.0,1548089507519.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,30.610.444.824,-,49.679.561.949,80.290.006.773,30610444824.0,,49679561949.0,80290006773.0
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(132.191.761.322),,,,-132191761322.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,(51.901.754.549),,,,-51901754549.0
Doanh thu hoạt động tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,635.578.490.637,,,,635578490637.0
Chi phí tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí tài chính,Chi phí tài chính,,,,(547.733.900.369),,,,-547733900369.0
Thu nhập khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Thu nhập khác,Thu nhập khác,,,,2.503.724.222,,,,2503724222.0
Chi phí khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí khác,Chi phí khác,,,,(11.017.821.799),,,,-11017821799.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,-,,,,
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,-,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,27.428.738.142,,,,27428738142.0
