row_label_raw,row_label_full,col_0,Phần mềmkế toán,Tổng,numeric__Phần mềmkế toán,numeric__Tổng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày 01/01/2020,NGUYÊN GIÁ > Tại ngày 01/01/2020,Tại ngày 01/01/2020,221.215.500,221.215.500,221215500.0,221215500.0
Tại ngày 31/12/2020,NGUYÊN GIÁ > Tại ngày 31/12/2020,Tại ngày 31/12/2020,221.215.500,221.215.500,221215500.0,221215500.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày 01/01/2020,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2020,Tại ngày 01/01/2020,159.766.750,159.766.750,159766750.0,159766750.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,61.448.750,61.448.750,61448750.0,61448750.0
Tại ngày 31/12/2020,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2020,Tại ngày 31/12/2020,221.215.500,221.215.500,221215500.0,221215500.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày 01/01/2020,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2020,Tại ngày 01/01/2020,61.448.750,61.448.750,61448750.0,61448750.0
Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,-,-,,
Nguyên giá TSCĐ hết khấu hao còn sử dụng,Tại ngày 31/12/2020 > Nguyên giá TSCĐ hết khấu hao còn sử dụng,Nguyên giá TSCĐ hết khấu hao còn sử dụng,221.215.500,221.215.500,221215500.0,221215500.0
