row_label_raw,row_label_full,Ông Nguyễn Khải Hoàn,Chủ tịch HĐQT,numeric__Chủ tịch HĐQT
Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,Phó chủ tịch HĐQT (bổ nhiệm ngày 01/10/2020),
Ông Võ Công Sơn,Ông Võ Công Sơn,Ông Võ Công Sơn,Thành viên HĐQT,
Bà Võ Thị Hồng Mai,Bà Võ Thị Hồng Mai,Bà Võ Thị Hồng Mai,"Thành viên HĐQT (bổ nhiệm ngày 14/08/2020, miễn nhiệm ngày 29/12/2020)",
Ông Nguyễn Thế Trung,Ông Nguyễn Thế Trung,Ông Nguyễn Thế Trung,Thành viên HĐQT (bổ nhiệm ngày 14/08/2020),
Bà Phạm Thị Minh Phụ,Bà Phạm Thị Minh Phụ,Bà Phạm Thị Minh Phụ,Thành viên HĐQT (bổ nhiệm ngày 20/10/2020),
Bà Vũ Thị Thanh Tâm,Bà Vũ Thị Thanh Tâm,Bà Vũ Thị Thanh Tâm,Thành viên HĐQT (bổ nhiệm ngày 29/12/2020),
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,
Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,Tổng Giám đốc,
Ông Nguyễn Thế Trung,Ông Nguyễn Thế Trung,Ông Nguyễn Thế Trung,Phó Tổng Giám đốc (bổ nhiệm ngày 01/07/2020),
Bà Phạm Thị Minh Phụ,Bà Phạm Thị Minh Phụ,Bà Phạm Thị Minh Phụ,Phó Tổng Giám đốc (bổ nhiệm ngày 20/10/2020),
