row_label_raw,row_label_full,STT,Loại hình,Tên rút gọn,Địa chỉ,numeric__Loại hình,numeric__Tên rút gọn,numeric__Địa chỉ
1.,1.,1.,Chi nhánh,Mỹ Toàn 1,"1479 Nguyễn Văn Linh, KP Mỹ Toàn 1 – H3, P. Tân Phong, Quận 7, TP. HCM",,,
2.,2.,2.,Chi nhánh,Nguyễn Hữu Cảnh 2,"11C Nguyễn Hữu Cảnh, Phường 19, Q. Bình Thạnh, TP. HCM",,,
3.,3.,3.,Chi nhánh,Kim Sơn,"B8 Nguyễn Hữu Thọ, P. Tân Phong, Quận 7, TP. HCM",,,
4.,4.,4.,Chi nhánh,Him Lam,"B10-B11 Nguyễn Hữu Thọ, Khu dân cư Kim Sơn, P. Tân Phong, Quận 7, TP. HCM",,,
5.,5.,5.,Văn phòng đại diện,Mỹ Toàn 3,"970 Nguyễn Văn Linh, Khu Mỹ Toàn 3, P. Tân Phong, Quận 7, TP. HCM",,,
6.,6.,6.,Văn phòng đại diện,Dragon 2,"218 Bến Văn Đồn, Phường 5, Quận 4, TP. HCM",,,
7.,7.,7.,Chi nhánh,Lake View 2,"Lầu 1 – 193 Nguyễn Hoàng, P. An Phú, Quận 2, TP.HCM",,,
8.,8.,8.,Chi nhánh,An Phú 2,"Lầu 2 – 193 Nguyễn Hoàng, P. An Phú, Quận 2, TP.HCM",,,
9.,9.,9.,Chi nhánh,Thủ Thiêm 2,"Lầu 2 SH 5-7, số 75 Nguyễn Cơ Thạch, P. An Lợi Đông, Quận 2, TP.HCM",,,
10.,10.,10.,Chi nhánh,Sala 2,"Lầu 1 SH5-7, Số 75 Nguyễn Cơ Thạch, P. An Lợi Đông, Quận 2, TP.HCM",,,
11.,11.,11.,Chi nhánh,Q7,"B9 Nguyễn Hữu Thọ, Khu dân cư Kim Sơn, P. Tân Phong, Quận 7, TP.HCM",,,
12.,12.,12.,Chi nhánh,Quận 8,"55/1 Nguyễn Chế Nghĩa, Phường 13, Quận 8, TP. HCM",,,
13.,13.,13.,Chi nhánh,Tân Phú,"90C Gò Dầu, P. Tân Phú, Q. Tân Phú, TP.HCM",,,
14.,14.,14.,Chi nhánh,Song Hành,"127 Đường số 5, KP5, Phường An Phú, Quận 2, TP.HCM",,,
15.,15.,15.,Chi nhánh,Nguyễn Chí Thanh,"908 Nguyễn Chí Thanh, Phường 4, Quận 11, TP.HCM",,,
16.,16.,16.,Chi nhánh,An Đông,"97L1 Nguyễn Duy Dương, Phường 9, Quận 5, TP.HCM",,,
