row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối nămVND,Giá trị ghi số > Số đầu nămVND,numeric__Giá trị ghi số > Số cuối nămVND,numeric__Giá trị ghi số > Số đầu nămVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,44.148.305.882,47.232.054.588,44148305882.0,47232054588.0
"Phải thu khách hàng, phải thu về cho vay và phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu về cho vay và phải thu khác","Phải thu khách hàng, phải thu về cho vay và phải thu khác",326.964.263.584,631.246.885.908,326964263584.0,631246885908.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.642.018.203.026,1.227.245.102.236,1642018203026.0,1227245102236.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,688.982.180.000,633.166.180.000,688982180000.0,633166180000.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,2.702.112.952.492,2.538.890.222.732,2702112952492.0,2538890222732.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,563.540.687.354,315.503.757.948,563540687354.0,315503757948.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,208.734.470.397,133.651.930.045,208734470397.0,133651930045.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,34.408.159.267,24.440.509.581,34408159267.0,24440509581.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,806.683.317.018,473.596.197.574,806683317018.0,473596197574.0
