row_label_raw,row_label_full,Công ty CP Đầu tư Dũng Tâm,Cùng thành viên Ban lãnh đạo,Cùng thành viên Ban lãnh đạo_1,numeric__Cùng thành viên Ban lãnh đạo,numeric__Cùng thành viên Ban lãnh đạo_1
Nhận tiền hợp tác đầu tư,Nhận tiền hợp tác đầu tư,Nhận tiền hợp tác đầu tư,10.000.000.000,-,10000000000.0,
Chi phí hợp tác đầu tư,Chi phí hợp tác đầu tư,Chi phí hợp tác đầu tư,970.750.000,-,970750000.0,
Cho thuê văn phòng,Cho thuê văn phòng,Cho thuê văn phòng,293.090.463,434.443.635,293090463.0,434443635.0
Chi phí cho hoạt động tài chính,Chi phí cho hoạt động tài chính,Chi phí cho hoạt động tài chính,-,4.900.000.000,,4900000000.0
Chi phí lãi trái phiếu,Chi phí lãi trái phiếu,Chi phí lãi trái phiếu,-,6.000.000.000,,6000000000.0
Thu tiền cho thuê văn phòng,Thu tiền cho thuê văn phòng,Thu tiền cho thuê văn phòng,119.472.000,-,119472000.0,
