row_label_raw,row_label_full,col_0,col_1,col_2,col_3,Đơn vị tính: VND,numeric__col_1,numeric__col_2,numeric__col_3,numeric__Đơn vị tính: VND
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,2.477.669.675.454,2.040.422.570.775,200.0,,2477669675454.0,2040422570775.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,24.934.044.441,6.261.870.115,210.0,,24934044441.0,6261870115.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,7,18.949.699.326,-,211.0,7.0,18949699326.0,
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,9,5.984.345.115,6.261.870.115,216.0,9.0,5984345115.0,6261870115.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,557.505.695.931,339.351.366.323,220.0,,557505695931.0,339351366323.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,364.097.989.906,232.978.489.726,221.0,12.0,364097989906.0,232978489726.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,902.265.619.048,602.956.689.187,222.0,,902265619048.0,602956689187.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(538.167.629.142),(369.978.199.461),223.0,,-538167629142.0,-369978199461.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,193.407.706.025,106.372.876.597,227.0,13.0,193407706025.0,106372876597.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,200.086.496.135,108.359.379.145,228.0,,200086496135.0,108359379145.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(6.678.790.110),(1.986.502.548),229.0,,-6678790110.0,-1986502548.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,14,82.546.083.828,13.988.887.651,230.0,14.0,82546083828.0,13988887651.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,84.672.504.853,15.781.667.712,231.0,,84672504853.0,15781667712.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(2.126.421.025),(1.792.780.061),232.0,,-2126421025.0,-1792780061.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,15,145.344.672.017,71.107.152.461,240.0,15.0,145344672017.0,71107152461.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,6.688.075.213,3.418.123.704,241.0,,6688075213.0,3418123704.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,,138.656.596.804,67.689.028.757,242.0,,138656596804.0,67689028757.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,6,1.462.907.258.485,1.420.971.815.673,250.0,6.0,1462907258485.0,1420971815673.0
"1. Đầu tư vào Công ty liên doanh, liên kết","1. Đầu tư vào Công ty liên doanh, liên kết","1. Đầu tư vào Công ty liên doanh, liên kết",252,,773.925.078.485,787.805.635.673,252.0,,773925078485.0,787805635673.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,26.982.180.000,3.302.180.000,253.0,,26982180000.0,3302180000.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,255,,662.000.000.000,629.864.000.000,255.0,,662000000000.0,629864000000.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,16.729.773.528,19.524.340.854,260.0,,16729773528.0,19524340854.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,16,13.685.180.735,17.374.212.797,261.0,16.0,13685180735.0,17374212797.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,,3.044.592.793,2.150.128.057,262.0,,3044592793.0,2150128057.0
VII. Lợi thế thương mại,VII. Lợi thế thương mại,VII. Lợi thế thương mại,269,17,187.702.147.224,169.217.137.698,269.0,17.0,187702147224.0,169217137698.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,4.899.488.796.024,4.339.323.309.743,270.0,,4899488796024.0,4339323309743.0
