row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,2.421.819.120.570,2.298.900.738.968,100.0,,2421819120570.0,2298900738968.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,44.148.305.882,47.232.054.588,110.0,5.0,44148305882.0,47232054588.0
1. Tiền,1. Tiền,1. Tiền,111,,44.148.305.882,43.732.054.588,111.0,,44148305882.0,43732054588.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,-,3.500.000.000,112.0,,,3500000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,1.642.018.203.026,1.227.245.102.236,120.0,6.0,1642018203026.0,1227245102236.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,173.780.426.948,223.638.003.610,121.0,,173780426948.0,223638003610.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,-,(13.089.677.452),122.0,,,-13089677452.0
3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,123,,1.468.237.776.078,1.016.696.776.078,123.0,,1468237776078.0,1016696776078.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,363.902.255.542,700.263.184.361,130.0,,363902255542.0,700263184361.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,290.225.501.025,646.345.653.860,131.0,7.0,290225501025.0,646345653860.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,73.318.845.984,74.803.832.487,132.0,8.0,73318845984.0,74803832487.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,65.487.140.179,44.257.064.854,136.0,9.0,65487140179.0,44257064854.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,10,(65.229.249.787),(65.617.702.921),137.0,10.0,-65229249787.0,-65617702921.0
5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,139,,100.018.141,474.336.081,139.0,,100018141.0,474336081.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,11,333.005.642.039,299.409.105.580,140.0,11.0,333005642039.0,299409105580.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,350.739.513.900,305.102.274.229,141.0,,350739513900.0,305102274229.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(17.733.871.861),(5.693.168.649),149.0,,-17733871861.0,-5693168649.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,38.744.714.081,24.751.292.203,150.0,,38744714081.0,24751292203.0
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,16,5.804.520.504,3.569.315.183,151.0,16.0,5804520504.0,3569315183.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,31.204.091.073,19.358.177.212,152.0,,31204091073.0,19358177212.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,1.736.102.504,1.823.799.808,153.0,,1736102504.0,1823799808.0
