row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,353.692.888.292,353.692.888.292,5.502.233.099.030,5.440.407.490.151,291.867.279.413,291.867.279.413,353692888292.0,353692888292.0,5502233099030.0,5440407490151.0,291867279413.0,291867279413.0
-Vay ngân hàng,-Vay ngân hàng,-Vay ngân hàng,307.628.097.501,307.628.097.501,5.456.086.826.487,5.433.278.608.399,284.819.879.413,284.819.879.413,307628097501.0,307628097501.0,5456086826487.0,5433278608399.0,284819879413.0,284819879413.0
+ Ngân hàng Việt Nam Thịnh Vượng (i),+ Ngân hàng Việt Nam Thịnh Vượng (i),+ Ngân hàng Việt Nam Thịnh Vượng (i),87.353.400.465,87.353.400.465,922.441.510.104,835.088.109.639,-,-,87353400465.0,87353400465.0,922441510104.0,835088109639.0,,
+ Ngân hàng TMCP Quân đội (ii),+ Ngân hàng TMCP Quân đội (ii),+ Ngân hàng TMCP Quân đội (ii),25.636.907.370,25.636.907.370,127.464.374.630,143.273.511.026,41.446.043.766,41.446.043.766,25636907370.0,25636907370.0,127464374630.0,143273511026.0,41446043766.0,41446043766.0
+ Ngân hàng TMCP Quốc Tế Việt Nam,+ Ngân hàng TMCP Quốc Tế Việt Nam,+ Ngân hàng TMCP Quốc Tế Việt Nam,7.721.519,7.721.519,233.818.609.263,233.864.209.722,53.321.978,53.321.978,7721519.0,7721519.0,233818609263.0,233864209722.0,53321978.0,53321978.0
+ Ngân hàng TMCP Ngoại Thương VN (iii),+ Ngân hàng TMCP Ngoại Thương VN (iii),+ Ngân hàng TMCP Ngoại Thương VN (iii),46.195.755.417,46.195.755.417,423.460.528.286,431.636.211.182,54.371.438.313,54.371.438.313,46195755417.0,46195755417.0,423460528286.0,431636211182.0,54371438313.0,54371438313.0
+ Ngân hàng TMCP Đầu tư và Phát triển VN (iv),+ Ngân hàng TMCP Đầu tư và Phát triển VN (iv),+ Ngân hàng TMCP Đầu tư và Phát triển VN (iv),110.161.995.514,110.161.995.514,3.640.214.773.950,3.696.070.232.280,166.017.453.844,166.017.453.844,110161995514.0,110161995514.0,3640214773950.0,3696070232280.0,166017453844.0,166017453844.0
+ Ngân hàng TNHH MTV Public VN (v),+ Ngân hàng TNHH MTV Public VN (v),+ Ngân hàng TNHH MTV Public VN (v),997.884.341,997.884.341,997.884.341,-,-,-,997884341.0,997884341.0,997884341.0,,,
+ Ngân hàng TMCP Công thương VN (vi),+ Ngân hàng TMCP Công thương VN (vi),+ Ngân hàng TMCP Công thương VN (vi),37.274.432.875,37.274.432.875,107.689.145.913,93.346.334.550,22.931.621.512,22.931.621.512,37274432875.0,37274432875.0,107689145913.0,93346334550.0,22931621512.0,22931621512.0
- Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,46.064.790.791,46.064.790.791,46.146.272.543,7.128.881.752,7.047.400.000,7.047.400.000,46064790791.0,46064790791.0,46146272543.0,7128881752.0,7047400000.0,7047400000.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,209.847.799.062,209.847.799.062,251.422.671.557,65.211.351.030,23.636.478.535,23.636.478.535,209847799062.0,209847799062.0,251422671557.0,65211351030.0,23636478535.0,23636478535.0
+ Ngân hàng TMCP Đông Nam Á (i),+ Ngân hàng TMCP Đông Nam Á (i),+ Ngân hàng TMCP Đông Nam Á (i),33.856.426.500,33.856.426.500,52.086.810.000,18.230.383.500,-,-,33856426500.0,33856426500.0,52086810000.0,18230383500.0,,
+ Ngân hàng TMCP Ngoại thương VN (ii),+ Ngân hàng TMCP Ngoại thương VN (ii),+ Ngân hàng TMCP Ngoại thương VN (ii),82.030.561.484,82.030.561.484,77.675.237.227,17.759.654.278,22.114.978.535,22.114.978.535,82030561484.0,82030561484.0,77675237227.0,17759654278.0,22114978535.0,22114978535.0
+ Ngân hàng TMCP Công thương VN (iii),+ Ngân hàng TMCP Công thương VN (iii),+ Ngân hàng TMCP Công thương VN (iii),89.138.124.000,89.138.124.000,111.250.124.000,22.112.000.000,-,-,89138124000.0,89138124000.0,111250124000.0,22112000000.0,,
