row_label_raw,row_label_full,col_0,Mối quan hệ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Năm nay,numeric__Năm trước
,,,Mối quan hệ,VND,VND,,,
Công ty CP Nước Khoáng Khánh Hòa,Công ty CP Nước Khoáng Khánh Hòa,Công ty CP Nước Khoáng Khánh Hòa,Công ty liên kết,,,,,
Mua hàng,Công ty CP Nước Khoáng Khánh Hòa > Mua hàng,Mua hàng,,215.188.876.665,188.513.248.440,,215188876665.0,188513248440.0
F.I.T chuyển tiền HTĐT cho Vikoda,Công ty CP Nước Khoáng Khánh Hòa > F.I.T chuyển tiền HTĐT cho Vikoda,F.I.T chuyển tiền HTĐT cho Vikoda,,2.500.000.000,2.500.000.000,,2500000000.0,2500000000.0
Vikoda chuyển tiền HTĐT và lãi cho F.I.T,Công ty CP Nước Khoáng Khánh Hòa > Vikoda chuyển tiền HTĐT và lãi cho F.I.T,Vikoda chuyển tiền HTĐT và lãi cho F.I.T,,33.861.112,-,,33861112.0,
Vikoda chuyển tiền dịch vụ cung cấp,Công ty CP Nước Khoáng Khánh Hòa > Vikoda chuyển tiền dịch vụ cung cấp,Vikoda chuyển tiền dịch vụ cung cấp,,6.527.811.207,-,,6527811207.0,
Lãi từ hoạt động hợp tác đầu tư,Công ty CP Nước Khoáng Khánh Hòa > Lãi từ hoạt động hợp tác đầu tư,Lãi từ hoạt động hợp tác đầu tư,,7.666.667,26.194.445,,7666667.0,26194445.0
"Doanh thu tư vấn, cho thuê văn phòng, doanh thu khác","Công ty CP Nước Khoáng Khánh Hòa > Doanh thu tư vấn, cho thuê văn phòng, doanh thu khác","Doanh thu tư vấn, cho thuê văn phòng, doanh thu khác",,3.079.292.913,4.281.497.269,,3079292913.0,4281497269.0
"Nhận ký quỹ, ký cược","Công ty CP Nước Khoáng Khánh Hòa > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",,-,4.952.845.115,,,4952845115.0
Chiết khấu thương mại,Công ty CP Nước Khoáng Khánh Hòa > Chiết khấu thương mại,Chiết khấu thương mại,,3.306.329.906,-,,3306329906.0,
Trả lại hàng,Công ty CP Nước Khoáng Khánh Hòa > Trả lại hàng,Trả lại hàng,,457.495.472,-,,457495472.0,
