row_label_raw,row_label_full,Tại ngày đầu năm,Miền BắcSố đầu năm > VND,Miền NamSố đầu năm > VND,Loại trừSố đầu năm > VND,Tổng cộngSố đầu năm > VND,numeric__Miền BắcSố đầu năm > VND,numeric__Miền NamSố đầu năm > VND,numeric__Loại trừSố đầu năm > VND,numeric__Tổng cộngSố đầu năm > VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,2.703.917.201.041,3.168.591.423.082,(1.533.185.314.380),4.339.323.309.743,2703917201041.0,3168591423082.0,-1533185314380.0,4339323309743.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,4.339.323.309.743,,,,4339323309743.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,149.603.688.770,426.961.220.507,(200.000.000),576.364.909.277,149603688770.0,426961220507.0,-200000000.0,576364909277.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,576.364.909.277,,,,576364909277.0
Năm trước,Năm trước,Năm trước,Miền BắcVND,Miền NamVND,Loại trừVND,Tổng cộngVND,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,7.938.021.611,2.414.815.748.913,-,2.422.753.770.524,7938021611.0,2414815748913.0,,2422753770524.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,12.341.752.420,313.534.685,(12.655.287.105),-,12341752420.0,313534685.0,-12655287105.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,20.279.774.031,2.415.129.283.598,(12.655.287.105),2.422.753.770.524,20279774031.0,2415129283598.0,-12655287105.0,2422753770524.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,-,-,-,-,,,,
Giá vốn,Kết quả hoạt động kinh doanh > Giá vốn,Giá vốn,9.950.563.093,1.981.002.125.319,(4.424.386.750),1.986.528.301.662,9950563093.0,1981002125319.0,-4424386750.0,1986528301662.0
Lãi gộp,Kết quả hoạt động kinh doanh > Lãi gộp,Lãi gộp,10.329.210.938,434.127.158.279,(8.230.900.355),436.225.468.862,10329210938.0,434127158279.0,-8230900355.0,436225468862.0
Chi phí bán hàng và chi phí quản lý,Kết quả hoạt động kinh doanh > Chi phí bán hàng và chi phí quản lý,Chi phí bán hàng và chi phí quản lý,31.563.108.642,356.219.071.757,10.835.551.798,398.617.732.197,31563108642.0,356219071757.0,10835551798.0,398617732197.0
Lãi (lỗ) khác,Kết quả hoạt động kinh doanh > Lãi (lỗ) khác,Lãi (lỗ) khác,(1.164.503.318),1.344.091.235,(40.510.000),139.077.917,-1164503318.0,1344091235.0,-40510000.0,139077917.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,236.202.355.257,58.045.744.487,(62.310.052.875),231.938.046.869,236202355257.0,58045744487.0,-62310052875.0,231938046869.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,80.933.045.098,19.466.926.719,(26.448.922.595),73.951.049.222,80933045098.0,19466926719.0,-26448922595.0,73951049222.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,155.269.310.159,38.578.817.768,(35.861.130.280),157.986.997.647,155269310159.0,38578817768.0,-35861130280.0,157986997647.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,132.870.909.137,117.830.995.525,(54.968.092.433),195.733.812.229,132870909137.0,117830995525.0,-54968092433.0,195733812229.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,26.417.002.134,24.325.087.184,-,50.742.089.318,26417002134.0,24325087184.0,,50742089318.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,-,1.307.583.364,-,1.307.583.364,,1307583364.0,,1307583364.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,106.453.907.003,92.198.324.977,(54.968.092.433),143.684.139.547,106453907003.0,92198324977.0,-54968092433.0,143684139547.0
