row_label_raw,row_label_full,col_0,Số cuối kỳ,Số cuối kỳ_1,Số đầu kỳ,Số đầu kỳ_1,numeric__Số cuối kỳ,numeric__Số cuối kỳ_1,numeric__Số đầu kỳ,numeric__Số đầu kỳ_1
,,,Giá trị,Dự phòng,Giá trị,Dự phòng,,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,VND65.487.140.179,VND(7.807.450.375),VND44.257.064.854,VND(8.419.877.890),,,,
"Lãi dự thu hợp đồng tiền gửi, cho vay, hợp tác đầu tư","a) Ngắn hạn > Lãi dự thu hợp đồng tiền gửi, cho vay, hợp tác đầu tư","Lãi dự thu hợp đồng tiền gửi, cho vay, hợp tác đầu tư",40.988.247.095,-,26.460.208.435,(1.238.315.518),40988247095.0,,26460208435.0,-1238315518.0
"Ký quỹ, ký cược","a) Ngắn hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",2.467.611.256,-,62.090.320,-,2467611256.0,,62090320.0,
Tạm ứng,a) Ngắn hạn > Tạm ứng,Tạm ứng,7.029.280.858,(689.833.740),5.185.152.015,(710.286.516),7029280858.0,-689833740.0,5185152015.0,-710286516.0
"Phải thu chi phí bán hàng, marketing","a) Ngắn hạn > Phải thu chi phí bán hàng, marketing","Phải thu chi phí bán hàng, marketing",-,,4.391.060.504,(3.924.082.450),,,4391060504.0,-3924082450.0
Phải thu Ông Đỗ Văn Tâm - khoản ứng trước tiền làm thủ tục xây dựng,a) Ngắn hạn > Phải thu Ông Đỗ Văn Tâm - khoản ứng trước tiền làm thủ tục xây dựng,Phải thu Ông Đỗ Văn Tâm - khoản ứng trước tiền làm thủ tục xây dựng,3.500.000.000,(2.450.000.000),3.500.000.000,(1.750.000.000),3500000000.0,-2450000000.0,3500000000.0,-1750000000.0
Nhà máy sẵn Bình Định,Nhà máy sẵn Bình Định,Nhà máy sẵn Bình Định,,,,,,,,
Phải thu khác,Nhà máy sẵn Bình Định > Phải thu khác,Phải thu khác,11.502.000.970,(4.667.616.635),4.658.553.580,(797.193.406),11502000970.0,-4667616635.0,4658553580.0,-797193406.0
b) Dài hạn,Nhà máy sẵn Bình Định > b) Dài hạn,b) Dài hạn,5.984.345.115,-,6.261.870.115,-,5984345115.0,,6261870115.0,
"Ký cược, ký quỹ","Nhà máy sẵn Bình Định > Ký cược, ký quỹ","Ký cược, ký quỹ",5.984.345.115,-,6.261.870.115,-,5984345115.0,,6261870115.0,
