row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Đơn vị tính: VND Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị tính: VND Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,164.408.816.091,195.733.812.229,1.0,164408816091.0,195733812229.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,
"- Khấu hao TSCĐ, BĐSĐT, phân bổ lợi thế thương mại","2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ, BĐSĐT, phân bổ lợi thế thương mại","- Khấu hao TSCĐ, BĐSĐT, phân bổ lợi thế thương mại",02,73.011.167.559,62.185.546.628,2.0,73011167559.0,62185546628.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,(19.907.721.246),14.395.651.300,3.0,-19907721246.0,14395651300.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,88.971.613,403.924.469,4.0,88971613.0,403924469.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(138.413.989.638),(148.855.818.065),5.0,-138413989638.0,-148855818065.0
- Chỉ phí lãi vay,2. Điều chỉnh cho các khoản > - Chỉ phí lãi vay,- Chỉ phí lãi vay,06,41.853.673.182,50.935.974.764,6.0,41853673182.0,50935974764.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,121.040.917.562,174.799.091.325,8.0,121040917562.0,174799091325.0
- (Tăng)/giảm các khoản phải thu,2. Điều chỉnh cho các khoản > - (Tăng)/giảm các khoản phải thu,- (Tăng)/giảm các khoản phải thu,09,7.079.320.815,(283.149.093.213),9.0,7079320815.0,-283149093213.0
- (Tăng)/giảm hàng tồn kho,2. Điều chỉnh cho các khoản > - (Tăng)/giảm hàng tồn kho,- (Tăng)/giảm hàng tồn kho,10,22.676.808.572,87.070.758.909,10.0,22676808572.0,87070758909.0
"- Tăng/(giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > - Tăng/(giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","- Tăng/(giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(5.879.797.980),(158.043.728.342),11.0,-5879797980.0,-158043728342.0
- (Tăng)/giảm chỉ phí trả trước,2. Điều chỉnh cho các khoản > - (Tăng)/giảm chỉ phí trả trước,- (Tăng)/giảm chỉ phí trả trước,12,3.602.616.150,23.152.001.011,12.0,3602616150.0,23152001011.0
- (Tăng)/giảm chứng khoán kinh doanh,2. Điều chỉnh cho các khoản > - (Tăng)/giảm chứng khoán kinh doanh,- (Tăng)/giảm chứng khoán kinh doanh,13,49.857.576.662,171.234.762.928,13.0,49857576662.0,171234762928.0
- Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,(41.720.983.969),(45.701.398.843),14.0,-41720983969.0,-45701398843.0
- Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,(56.592.194.447),(58.424.031.441),15.0,-56592194447.0,-58424031441.0
