row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Quỹ đầu tư phát triển,LNST chưa phân phối,Vốn khác,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Quỹ đầu tư phát triển,numeric__LNST chưa phân phối,numeric__Vốn khác,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu kỳ năm trước,Số dư đầu kỳ năm trước,Số dư đầu kỳ năm trước,1.792.124.770.000,14.805.156.176,8.490.566.038,886.852.413,261.562.252.028,-,979.304.952.928,3.057.174.549.583,1792124770000.0,14805156176.0,8490566038.0,886852413.0,261562252028.0,,979304952928.0,3057174549583.0
Trái phiếu chuyển đổi (Giá trị quyền chọn cổ phiếu) (i),Trái phiếu chuyển đổi (Giá trị quyền chọn cổ phiếu) (i),Trái phiếu chuyển đổi (Giá trị quyền chọn cổ phiếu) (i),300.000.000.000,-,-,-,-,-,-,300.000.000.000,300000000000.0,,,,,,,300000000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,112.029.561.244,-,31.654.578.303,143.684.139.547,,,,,112029561244.0,,31654578303.0,143684139547.0
Phát hành cổ phiếu chia cổ tức (ii),Phát hành cổ phiếu chia cổ tức (ii),Phát hành cổ phiếu chia cổ tức (ii),143.364.850.000,-,-,-,(143.364.850.000),-,-,-,143364850000.0,,,,-143364850000.0,,,
DCL chia cổ phiếu thường,DCL chia cổ phiếu thường,DCL chia cổ phiếu thường,-,-,-,-,-,80.481.887.391,-,80.481.887.391,,,,,,80481887391.0,,80481887391.0
Tăng do hợp nhất TSC,Tăng do hợp nhất TSC,Tăng do hợp nhất TSC,-,-,-,-,-,-,234.656.472.205,234.656.472.205,,,,,,,234656472205.0,234656472205.0
Tăng/(Giảm) do mua thêm/chuyển nhượng một phần lợi ích trong công ty con,Tăng/(Giảm) do mua thêm/chuyển nhượng một phần lợi ích trong công ty con,Tăng/(Giảm) do mua thêm/chuyển nhượng một phần lợi ích trong công ty con,-,-,-,-,(43.112.312.706),-,-,(43.112.312.706),,,,,-43112312706.0,,,-43112312706.0
Chuyển nhượng một phần lợi ích trong công ty con TSC,Chuyển nhượng một phần lợi ích trong công ty con TSC,Chuyển nhượng một phần lợi ích trong công ty con TSC,-,-,-,-,-,-,33.437.456.653,33.437.456.653,,,,,,,33437456653.0,33437456653.0
Tăng/(giảm khác) (iii),Tăng/(giảm khác) (iii),Tăng/(giảm khác) (iii),-,8.479.566.038,(8.490.566.038),-,(6.176.438.707),,,(6.187.438.707),,8479566038.0,-8490566038.0,,-6176438707.0,,,-6187438707.0
