row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,VND162.774.635.378,VND162.774.635.378,VND103.293.248.207,VND103.293.248.207,,,,
a) Các khoản phải trả người bán ngắn hạn là bên liên quan,Phải trả người bán ngắn hạn > a) Các khoản phải trả người bán ngắn hạn là bên liên quan,a) Các khoản phải trả người bán ngắn hạn là bên liên quan,88.609.031.535,88.609.031.535,49.571.381.417,49.571.381.417,88609031535.0,88609031535.0,49571381417.0,49571381417.0
Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),Phải trả người bán ngắn hạn > Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),88.609.031.535,88.609.031.535,49.571.381.417,49.571.381.417,88609031535.0,88609031535.0,49571381417.0,49571381417.0
+ Công ty Cổ phần Nước khoáng Khánh Hòa - Fit Beverage,Phải trả người bán ngắn hạn > + Công ty Cổ phần Nước khoáng Khánh Hòa - Fit Beverage,+ Công ty Cổ phần Nước khoáng Khánh Hòa - Fit Beverage,47.161.690.846,47.161.690.846,20.335.645.732,20.335.645.732,47161690846.0,47161690846.0,20335645732.0,20335645732.0
+ Công ty Cổ phần FIT Cosmetics,Phải trả người bán ngắn hạn > + Công ty Cổ phần FIT Cosmetics,+ Công ty Cổ phần FIT Cosmetics,41.447.340.689,41.447.340.689,29.235.735.685,29.235.735.685,41447340689.0,41447340689.0,29235735685.0,29235735685.0
b) Các khoản phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn > b) Các khoản phải trả người bán ngắn hạn khác,b) Các khoản phải trả người bán ngắn hạn khác,74.165.603.843,74.165.603.843,53.721.866.790,53.721.866.790,74165603843.0,74165603843.0,53721866790.0,53721866790.0
Khách hàng của Công ty Cổ phần Tập đoàn F.I.T - Công ty mẹ,Phải trả người bán ngắn hạn > Khách hàng của Công ty Cổ phần Tập đoàn F.I.T - Công ty mẹ,Khách hàng của Công ty Cổ phần Tập đoàn F.I.T - Công ty mẹ,689.673.668,689.673.668,712.759.117,712.759.117,689673668.0,689673668.0,712759117.0,712759117.0
Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),Phải trả người bán ngắn hạn > Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),Khách hàng của Công ty Cổ phần VTKT Nông nghiệp Cần Thơ (Hợp nhất),6.850.878.883,6.850.878.883,28.825.337.178,28.825.337.178,6850878883.0,6850878883.0,28825337178.0,28825337178.0
Khách hàng của Công ty Cổ phần Dược phẩm Cửu Long (Hợp nhất),Phải trả người bán ngắn hạn > Khách hàng của Công ty Cổ phần Dược phẩm Cửu Long (Hợp nhất),Khách hàng của Công ty Cổ phần Dược phẩm Cửu Long (Hợp nhất),66.618.631.292,66.618.631.292,24.175.970.495,24.175.970.495,66618631292.0,66618631292.0,24175970495.0,24175970495.0
Khách hàng của Công ty Cổ phần Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Phải trả người bán ngắn hạn > Khách hàng của Công ty Cổ phần Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Khách hàng của Công ty Cổ phần Xuất nhập khẩu và Thương mại F.I.T Việt Nam,6.420.000,6.420.000,-,-,6420000.0,6420000.0,,
Công ty Cổ phần Đầu tư Bất động sản F.I.T,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty Cổ phần Đầu tư Bất động sản F.I.T,-,-,7.800.000,7.800.000,,,7800000.0,7800000.0
