row_label_raw,row_label_full,Tên Công ty,Trụ sở chính,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nắm giữ,Hoạt động chính,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết nắm giữ,numeric__Hoạt động chính
Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,,,,
Công ty CP Giống Cây Trồng Nông Tín,Công ty con cấp 2 > Công ty CP Giống Cây Trồng Nông Tín,Công ty CP Giống Cây Trồng Nông Tín,Hồ Chí Minh,"44,03%","77,67%","Sản xuất, kinh doanh giống cây trồng",,0.4403,0.7767000000000001,
Công ty CP Westfood Hậu Giang,Công ty con cấp 2 > Công ty CP Westfood Hậu Giang,Công ty CP Westfood Hậu Giang,Hậu Giang,"55,08%",100%,Chế biến nông sản,,0.5508,1.0,
"Công ty Liên doanh Sản xuất Kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế","Công ty con cấp 2 > Công ty Liên doanh Sản xuất Kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế","Công ty Liên doanh Sản xuất Kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế",Lào,"36,26%","51,00%",Giới thiệu thuốc,,0.3626,0.51,
Công ty TNHH MTV Dược phẩm Mêkông,Công ty con cấp 2 > Công ty TNHH MTV Dược phẩm Mêkông,Công ty TNHH MTV Dược phẩm Mêkông,Vĩnh Long,"71,09%","100,00%","Kinh doanh dược phẩm, thiết bị y tế",,0.7109000000000001,1.0,
Công ty TNHH MTV Dược phẩm VPC - Sài Gòn,Công ty con cấp 2 > Công ty TNHH MTV Dược phẩm VPC - Sài Gòn,Công ty TNHH MTV Dược phẩm VPC - Sài Gòn,Hồ Chí Minh,"71,09%","100,00%",Kinh doanh dược phẩm và dụng cụ y tế,,0.7109000000000001,1.0,
Công ty CP Dược phẩm Benovas,Công ty con cấp 2 > Công ty CP Dược phẩm Benovas,Công ty CP Dược phẩm Benovas,Hồ Chí Minh,"67,54%","95,00%","Kinh doanh dược phẩm, trang thiết bị y tế",,0.6754000000000001,0.95,
Công ty CP Thiết bị Y tế Benovas,Công ty con cấp 2 > Công ty CP Thiết bị Y tế Benovas,Công ty CP Thiết bị Y tế Benovas,Vĩnh Long,"70,38%","99,00%","Sản xuất và kinh doanh dụng cụ, trang thiết bị y tế",,0.7038,0.99,
Công ty CP Thuốc Ung Thư Benovas,Công ty con cấp 2 > Công ty CP Thuốc Ung Thư Benovas,Công ty CP Thuốc Ung Thư Benovas,Hà Nội,"39,10%","55,00%","Sản xuất thuốc, hóa dược và dược liệu...",,0.391,0.55,
Công ty CP Dược Phẩm Euvipharm,Công ty con cấp 2 > Công ty CP Dược Phẩm Euvipharm,Công ty CP Dược Phẩm Euvipharm,Long An,"63,98%","89,99%","Sản xuất thuốc, hóa dược và dược liệu...",,0.6397999999999999,0.8998999999999999,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty CP FIT Cosmetics,Công ty liên kết > Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,Hồ Chí Minh,"27,97%","49,08%",Phân phối ngành hàng hóa mỹ phẩm,,0.2797,0.49079999999999996,
Công ty CP Nước khoáng Khánh Hòa,Công ty liên kết > Công ty CP Nước khoáng Khánh Hòa,Công ty CP Nước khoáng Khánh Hòa,Khánh Hòa,"27,92%","49,00%",Sản xuất nước khoáng và các sản phẩm từ nước khoáng,,0.2792,0.49,
