row_label_raw,row_label_full,col_0,Số tiên,numeric__Số tiên
,,,VND,
Vốn điều lệ của công ty con,Vốn điều lệ của công ty con,Vốn điều lệ của công ty con,40.812.490.000,40812490000.0
Trong đó:,Trong đó:,Trong đó:,,
Vốn góp của Công ty,Trong đó: > Vốn góp của Công ty,Vốn góp của Công ty,20.826.250.000,20826250000.0
Vốn góp của cổ đông không kiểm soát,Trong đó: > Vốn góp của cổ đông không kiểm soát,Vốn góp của cổ đông không kiểm soát,19.986.240.000,19986240000.0
Tỷ lệ lợi ích của cổ đông không kiểm soát,Trong đó: > Tỷ lệ lợi ích của cổ đông không kiểm soát,Tỷ lệ lợi ích của cổ đông không kiểm soát,"48,97%",0.48969999999999997
