row_label_raw,row_label_full,Chi phí bán hàng phát sinh trong năm,Năm nayVND > Chi phí bán hàng phát sinh trong năm,Năm trướcVND > Chi phí bán hàng phát sinh trong năm,numeric__Năm nayVND > Chi phí bán hàng phát sinh trong năm,numeric__Năm trướcVND > Chi phí bán hàng phát sinh trong năm
Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,25.097.520.045,16.823.408.299,25097520045.0,16823408299.0
"Chi phí vận chuyển, bổc xếp lưu kho","Chi phí vận chuyển, bổc xếp lưu kho","Chi phí vận chuyển, bổc xếp lưu kho",157.177.036.813,116.952.914.055,157177036813.0,116952914055.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,265.246.584,-,265246584.0,
"Chi phí quảng cáo, truyền thông","Chi phí quảng cáo, truyền thông","Chi phí quảng cáo, truyền thông",76.718.217.151,43.308.612.978,76718217151.0,43308612978.0
Chi phí an sinh xã hội,Chi phí an sinh xã hội,Chi phí an sinh xã hội,30.950.546.500,42.307.639.338,30950546500.0,42307639338.0
Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,43.391.738.192,56.440.436.567,43391738192.0,56440436567.0
,,,333.600.305.285,275.833.011.237,333600305285.0,275833011237.0
Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,82.530.006.594,66.542.584.989,82530006594.0,66542584989.0
Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,Chi phí quản lý doanh nghiệp phát sinh trong năm > Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,28.435.849.993,22.689.734.166,28435849993.0,22689734166.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,28.611.435.573,27.322.966.531,28611435573.0,27322966531.0
Trích Quỹ phát triển khoa học và công nghệ,Chi phí quản lý doanh nghiệp phát sinh trong năm > Trích Quỹ phát triển khoa học và công nghệ,Trích Quỹ phát triển khoa học và công nghệ,72.825.537.606,15.000.000.000,72825537606.0,15000000000.0
Lợi thể kinh doanh,Chi phí quản lý doanh nghiệp phát sinh trong năm > Lợi thể kinh doanh,Lợi thể kinh doanh,46.513.175.754,46.513.175.754,46513175754.0,46513175754.0
Các khoản chi phí quản lý doanh nghiệp kh,Chi phí quản lý doanh nghiệp phát sinh trong năm > Các khoản chi phí quản lý doanh nghiệp kh,Các khoản chi phí quản lý doanh nghiệp kh,78.434.863.438,76.685.368.887,78434863438.0,76685368887.0
,,,337.350.868.958,254.753.830.327,337350868958.0,254753830327.0
