row_label_raw,row_label_full,Chi tiêu,Số đầu năm,Phát sinh trong năm > Số phải nộpVND,Phát sinh trong năm > Số bù trừVND,Phát sinh trong năm > Số đã nộpVND,Số cuối năm,numeric__Số đầu năm,numeric__Phát sinh trong năm > Số phải nộpVND,numeric__Phát sinh trong năm > Số bù trừVND,numeric__Phát sinh trong năm > Số đã nộpVND,numeric__Số cuối năm
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,,
Thuế giá trị gia tăng,a) Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,157.422.454,18.597.814.884,14.251.817.149,4.277.740.992,89.165.711,157422454.0,18597814884.0,14251817149.0,4277740992.0,89165711.0
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.792.529.557,2.792.529.557,-,-,-,2792529557.0,2792529557.0,,,
Tiền thuê đất,a) Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,397.346.605,264.435.222,-,264.435.222,397.346.605,397346605.0,264435222.0,,264435222.0,397346605.0
,,,3.347.298.616,21.654.779.663,14.251.817.149,4.542.176.214,486.512.316,3347298616.0,21654779663.0,14251817149.0,4542176214.0,486512316.0
b) Các khoản phải nộp,b) Các khoản phải nộp,b) Các khoản phải nộp,b) Các khoản phải nộp,b) Các khoản phải nộp,b) Các khoản phải nộp,b) Các khoản phải nộp,b) Các khoản phải nộp,,,,,
Thuế giá trị gia tăng,b) Các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.053.239.200,16.152.118.990,11.776.614.628,5.133.682.374,295.061.188,1053239200.0,16152118990.0,11776614628.0,5133682374.0,295061188.0
Thuế nhập khẩu,b) Các khoản phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,8.455.024.522,-,8.455.024.522,-,,8455024522.0,,8455024522.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,311.619.722,38.095.719.409,-,26.829.335.955,11.578.003.176,311619722.0,38095719409.0,,26829335955.0,11578003176.0
Thuế tài nguyên,b) Các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,91.600.340,1.199.899.740,-,1.158.103.620,133.396.460,91600340.0,1199899740.0,,1158103620.0,133396460.0
Các loại thuê khác,b) Các khoản phải nộp > Các loại thuê khác,Các loại thuê khác,1.918.415.360,26.649.557.039,-,25.015.317.354,3.552.655.045,1918415360.0,26649557039.0,,25015317354.0,3552655045.0
Thuế thu nhập cá nhân,b) Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.309.097.587,23.904.285.150,-,21.774.980.362,3.438.402.375,1309097587.0,23904285150.0,,21774980362.0,3438402375.0
Thuế khác,b) Các khoản phải nộp > Thuế khác,Thuế khác,609.317.773,2.745.271.889,-,3.240.336.992,114.252.670,609317773.0,2745271889.0,,3240336992.0,114252670.0
,,,3.374.874.622,90.552.319.700,11.776.614.628,66.591.463.825,15.559.115.869,3374874622.0,90552319700.0,11776614628.0,66591463825.0,15559115869.0
