row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị VND,Phương tiện vận tải và thiết bị truyền dẫn,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải và thiết bị truyền dẫn,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,3.374.394.301.307,10.313.630.444.234,58.678.893.124,56.377.936.721,58.688.591.244,13.861.770.166.630,3374394301307.0,10313630444234.0,58678893124.0,56377936721.0,58688591244.0,13861770166630.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,17.402.780.362,15.943.959.478,882.002.616,-,-,34.228.742.456,17402780362.0,15943959478.0,882002616.0,,,34228742456.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,358.448.339,25.372.751.018,2.386.938.539,6.996.498.148,70.000.000,35.184.636.044,358448339.0,25372751018.0,2386938539.0,6996498148.0,70000000.0,35184636044.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,2.682.631.200,-,(2.682.631.200),-,-,,2682631200.0,,-2682631200.0,,
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,3.392.155.530.008,10.357.629.785.930,61.947.834.279,60.691.803.669,58.758.591.244,13.931.183.545.130,3392155530008.0,10357629785930.0,61947834279.0,60691803669.0,58758591244.0,13931183545130.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,1.347.501.159.723,3.739.610.912.891,35.171.639.014,31.165.426.176,16.353.843.431,5.169.802.981.235,1347501159723.0,3739610912891.0,35171639014.0,31165426176.0,16353843431.0,5169802981235.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,301.520.507.502,971.389.646.514,9.225.147.503,9.080.016.074,581.623.497,1.291.796.941.090,301520507502.0,971389646514.0,9225147503.0,9080016074.0,581623497.0,1291796941090.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.649.021.667.225,4.711.000.559.405,44.396.786.517,40.245.442.250,16.935.466.928,6.461.599.922.325,1649021667225.0,4711000559405.0,44396786517.0,40245442250.0,16935466928.0,6461599922325.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.743.133.862.783,5.646.629.226.525,17.551.047.762,20.446.361.419,41.823.124.316,7.469.583.622.805,1743133862783.0,5646629226525.0,17551047762.0,20446361419.0,41823124316.0,7469583622805.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.026.893.141.584,6.574.019.531.343,23.507.254.110,25.212.510.545,42.334.747.813,8.691.967.185.395,2026893141584.0,6574019531343.0,23507254110.0,25212510545.0,42334747813.0,8691967185395.0
