row_label_raw,row_label_full,col_0,Võn góp của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Công,numeric__Võn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Công
,,,VND,VND,VND,,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.294.000.000.000,372.637.865.219,543.413.599.711,23.141.314.690,6.233.192.779.620,5294000000000.0,372637865219.0,543413599711.0,23141314690.0,6233192779620.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,619.831.354.510,4.508.467.538,624.339.822.048,,,619831354510.0,4508467538.0,624339822048.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,75.000.693.487,(75.000.693.487),-,-,,75000693487.0,-75000693487.0,,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,(84.675.722.036),(758.971.212),(84.675.722.036),,,-84675722036.0,-758971212.0,-84675722036.0
Chuyển trả tiền cổ phần hóa,Chuyển trả tiền cổ phần hóa,Chuyển trả tiền cổ phần hóa,-,(286.574.832.277),-,-,(286.574.832.277),,-286574832277.0,,,-286574832277.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(635.280.000.000),-,(635.280.000.000),,,-635280000000.0,,-635280000000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,161.063.726.429,368.288.538.698,26.890.811.016,5.850.243.076.143,5294000000000.0,161063726429.0,368288538698.0,26890811016.0,5850243076143.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,644.126.900.730,3.497.683.527,647.624.584.257,,,644126900730.0,3497683527.0,647624584257.0
Trích Quỹ đầu tư phát triển (I),Trích Quỹ đầu tư phát triển (I),Trích Quỹ đầu tư phát triển (I),-,77.671.807.574,(77.671.807.574),-,-,,77671807574.0,-77671807574.0,,
"Trích Quỹ khen thưởng, phúc lợi (I')","Trích Quỹ khen thưởng, phúc lợi (I')","Trích Quỹ khen thưởng, phúc lợi (I')",-,-,(69.392.041.452),(1.007.784.827),(70.399.826.279),,,-69392041452.0,-1007784827.0,-70399826279.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(270.947.875.000),(2.997.936.000),(273.945.811.000),,,-270947875000.0,-2997936000.0,-273945811000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.294.000.000.000,238.735.534.003,594.403.715.402,26.382.773.716,6.153.522.023.121,5294000000000.0,238735534003.0,594403715402.0,26382773716.0,6153522023121.0
