row_label_raw,row_label_full,col_0,Số cuối nămVND,Số cuối nămVND_1,numeric__Số cuối nămVND,numeric__Số cuối nămVND_1
a) Phải trả ngắn hạn khác,a) Phải trả ngắn hạn khác,a) Phải trả ngắn hạn khác,a) Phải trả ngắn hạn khác,a) Phải trả ngắn hạn khác,,
Phải trả Ban Quản lý Dự án Khí - Điện - Đạm Cà M,a) Phải trả ngắn hạn khác > Phải trả Ban Quản lý Dự án Khí - Điện - Đạm Cà M,Phải trả Ban Quản lý Dự án Khí - Điện - Đạm Cà M,55.851.413.429,75.571.633.412,55851413429.0,75571633412.0
- Thuế giá trị gia tăng đầu vào mua khí trong giai đoạn trước khi chính thức vận hành thương mại,a) Phải trả ngắn hạn khác > - Thuế giá trị gia tăng đầu vào mua khí trong giai đoạn trước khi chính thức vận hành thương mại,- Thuế giá trị gia tăng đầu vào mua khí trong giai đoạn trước khi chính thức vận hành thương mại,49.897.065.571,69.617.285.554,49897065571.0,69617285554.0
- Các khoản phải trả khác,a) Phải trả ngắn hạn khác > - Các khoản phải trả khác,- Các khoản phải trả khác,5.954.347.858,5.954.347.858,5954347858.0,5954347858.0
Phải trả Tập đoàn Dầu khí Việt Nam,a) Phải trả ngắn hạn khác > Phải trả Tập đoàn Dầu khí Việt Nam,Phải trả Tập đoàn Dầu khí Việt Nam,152.890.357.958,152.448.336.377,152890357958.0,152448336377.0
"- Nhận bàn giao Dự án hoàn thành ""Nhà máy Sản xuất Phân đạm Cà Mau"" (i)","a) Phải trả ngắn hạn khác > - Nhận bàn giao Dự án hoàn thành ""Nhà máy Sản xuất Phân đạm Cà Mau"" (i)","- Nhận bàn giao Dự án hoàn thành ""Nhà máy Sản xuất Phân đạm Cà Mau"" (i)",78.515.027.920,78.515.027.920,78515027920.0,78515027920.0
- Lợi nhuận phải nộp (ii),a) Phải trả ngắn hạn khác > - Lợi nhuận phải nộp (ii),- Lợi nhuận phải nộp (ii),40.732.029.647,40.732.029.647,40732029647.0,40732029647.0
- Thuế thu nhập doanh nghiệp năm 2014 nộp thừa,a) Phải trả ngắn hạn khác > - Thuế thu nhập doanh nghiệp năm 2014 nộp thừa,- Thuế thu nhập doanh nghiệp năm 2014 nộp thừa,32.381.736.667,32.381.736.667,32381736667.0,32381736667.0
- Thuế thu nhập doanh nghiệp phải nộp giai đoạn từ ngày 01/01/2015 đến ngày 14/01/2015,a) Phải trả ngắn hạn khác > - Thuế thu nhập doanh nghiệp phải nộp giai đoạn từ ngày 01/01/2015 đến ngày 14/01/2015,- Thuế thu nhập doanh nghiệp phải nộp giai đoạn từ ngày 01/01/2015 đến ngày 14/01/2015,1.176.849.040,1.176.849.040,1176849040.0,1176849040.0
- Phải trả về cổ phần hóa,a) Phải trả ngắn hạn khác > - Phải trả về cổ phần hóa,- Phải trả về cổ phần hóa,247.500.000,247.500.000,247500000.0,247500000.0
- Phải trả khác,a) Phải trả ngắn hạn khác > - Phải trả khác,- Phải trả khác,(162.785.316),(604.806.897),-162785316.0,-604806897.0
Quỹ thường an toàn (iii),a) Phải trả ngắn hạn khác > Quỹ thường an toàn (iii),Quỹ thường an toàn (iii),2.155.892.699,968.785.241,2155892699.0,968785241.0
Kinh phí công đoàn,a) Phải trả ngắn hạn khác > Kinh phí công đoàn,Kinh phí công đoàn,1.271.810.485,884.990.682,1271810485.0,884990682.0
"Nhận ký quỹ, ký cược ngắn hạn","a) Phải trả ngắn hạn khác > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",571.366.000,2.184.282.500,571366000.0,2184282500.0
Phải trả ngắn hạn khác,a) Phải trả ngắn hạn khác > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,8.396.633.061,15.972.822.772,8396633061.0,15972822772.0
,,,221.137.473.632,248.030.850.984,221137473632.0,248030850984.0
b) Phải trả dài hạn khác,b) Phải trả dài hạn khác,b) Phải trả dài hạn khác,b) Phải trả dài hạn khác,b) Phải trả dài hạn khác,,
Phải trả Ngân sách Nhà nước do nhận bàn giao quyền sử dụng đất,b) Phải trả dài hạn khác > Phải trả Ngân sách Nhà nước do nhận bàn giao quyền sử dụng đất,Phải trả Ngân sách Nhà nước do nhận bàn giao quyền sử dụng đất,-,1.055.667.075,,1055667075.0
,,,-,1.055.667.075,,1055667075.0
Phải trả khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 36),b) Phải trả dài hạn khác > Phải trả khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 36),Phải trả khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 36),208.741.771.387,228.019.969.789,208741771387.0,228019969789.0
