row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Đơn vị: VNDNăm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,25,5.832.973.328.808,4.971.748.943.654,1.0,25.0,5832973328808.0,4971748943654.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,25,85.218.359.150,61.578.260.352,2.0,25.0,85218359150.0,61578260352.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,5.747.754.969.658,4.910.170.683.302,10.0,,5747754969658.0,4910170683302.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,26,4.366.452.519.088,3.595.507.736.544,11.0,26.0,4366452519088.0,3595507736544.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.381.302.450.570,1.314.662.946.758,20.0,,1381302450570.0,1314662946758.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,28,168.762.736.688,281.352.006.888,21.0,28.0,168762736688.0,281352006888.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,29,202.888.783.558,432.719.478.011,22.0,29.0,202888783558.0,432719478011.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,182.986.530.390,206.622.388.743,23.0,,182986530390.0,206622388743.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,30,333.600.305.285,275.833.011.237,25.0,30.0,333600305285.0,275833011237.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,30,337.350.868.958,254.753.830.327,26.0,30.0,337350868958.0,254753830327.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,676.225.229.457,632.708.634.071,30.0,,676225229457.0,632708634071.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,31,3.182.396.723,26.209.791.117,31.0,31.0,3182396723.0,26209791117.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,31,82.492.494,27.031.577,32.0,31.0,82492494.0,27031577.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,31,3.099.904.229,26.182.759.540,40.0,31.0,3099904229.0,26182759540.0
14. Tổng lợi nhuận kể toán trước thuế (50=30+40),14. Tổng lợi nhuận kể toán trước thuế (50=30+40),14. Tổng lợi nhuận kể toán trước thuế (50=30+40),50,,679.325.133.686,658.891.393.611,50.0,,679325133686.0,658891393611.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,40.882.128.966,34.551.571.563,51.0,32.0,40882128966.0,34551571563.0
16. (Thu nhập)/Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập)/Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập)/Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,(2.933.704.537),,52.0,,-2933704537.0,
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,641.376.709.257,624.339.822.048,60.0,,641376709257.0,624339822048.0
17.1. Lợi nhuận sau thuế của Cổ đông Công ty mẹ,17.1. Lợi nhuận sau thuế của Cổ đông Công ty mẹ,17.1. Lợi nhuận sau thuế của Cổ đông Công ty mẹ,61,,637.879.025.730,619.831.354.510,61.0,,637879025730.0,619831354510.0
17.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,17.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,17.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,62,,3.497.683.527,4.508.467.538,62.0,,3497683527.0,4508467538.0
18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,70,33,1.074,1.011,70.0,33.0,1074.0,1011.0
Đinh Nhật Dương Người lập biểu,Đinh Nhật Dương Người lập biểu,Đinh Nhật Dương Người lập biểu,Đinh Như Cường Kế toán trường,Đinh Như Cường Kế toán trường,Lê Ngọc Minh Trí Phó Tổng Giám đốcNgày 17 tháng 3 năm 2018,Lê Ngọc Minh Trí Phó Tổng Giám đốcNgày 17 tháng 3 năm 2018,,,,
