row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Doanh thu thành phẩm Urê,Doanh thu thành phẩm Urê,Doanh thu thành phẩm Urê,4.999.047.570.773,4.469.266.949.185,4999047570773.0,4469266949185.0
- Bán trong nước,- Bán trong nước,- Bán trong nước,4.388.871.445.500,4.057.791.404.100,4388871445500.0,4057791404100.0
- Xuất khấu,- Xuất khấu,- Xuất khấu,610.176.125.273,411.475.545.085,610176125273.0,411475545085.0
Doanh thu thành phẩm Amoniac,Doanh thu thành phẩm Amoniac,Doanh thu thành phẩm Amoniac,110.293.496.898,92.613.549.214,110293496898.0,92613549214.0
Doanh thu bán hàng hóa phân bón và違 đ้,Doanh thu bán hàng hóa phân bón và違 đ้,Doanh thu bán hàng hóa phân bón và違 đ้,614.294.425.537,391.586.922.283,614294425537.0,391586922283.0
Doanh thu bán phế phẩm và các thành phẩm phân bón khác,Doanh thu bán phế phẩm và các thành phẩm phân bón khác,Doanh thu bán phế phẩm và các thành phẩm phân bón khác,107.961.593.000,18.113.256.608,107961593000.0,18113256608.0
Doanh thu dịch vụ khác,Doanh thu dịch vụ khác,Doanh thu dịch vụ khác,1.376.242.600,168.266.364,1376242600.0,168266364.0
,,,5.832.973.328.808,4.971.748.943.654,5832973328808.0,4971748943654.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
Chiết khấu thương mại,Các khoản giảm trừ doanh thu > Chiết khấu thương mại,Chiết khấu thương mại,81.433.529.150,61.077.760.352,81433529150.0,61077760352.0
Giảm giá hàng bán,Các khoản giảm trừ doanh thu > Giảm giá hàng bán,Giảm giá hàng bán,-,500.500.000,,500500000.0
Hàng bán bị trả lại,Các khoản giảm trừ doanh thu > Hàng bán bị trả lại,Hàng bán bị trả lại,3.784.830.000,-,3784830000.0,
,,,85.218.359.150,61.578.260.352,85218359150.0,61578260352.0
Doanh thu phát sinh trong năm với các bên liên quan (chỉ tiết trình bày tại Thuyết minh số 36),Các khoản giảm trừ doanh thu > Doanh thu phát sinh trong năm với các bên liên quan (chỉ tiết trình bày tại Thuyết minh số 36),Doanh thu phát sinh trong năm với các bên liên quan (chỉ tiết trình bày tại Thuyết minh số 36),1.445.466.159,1.860.000.000,1445466159.0,1860000000.0
