row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 01 tháng 01 năm 2023,Nguyên giá > Ngày 01 tháng 01 năm 2023,Ngày 01 tháng 01 năm 2023,329.285.688.949,29.714.005.982,3.468.279.053,362.467.973.984,329285688949.0,29714005982.0,3468279053.0,362467973984.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,40.623.501.795,12.013.480.000,45.650.000,52.682.631.795,40623501795.0,12013480000.0,45650000.0,52682631795.0
Mua mới,Nguyên giá > Mua mới,Mua mới,40.623.501.795,12.013.480.000,45.650.000,52.682.631.795,40623501795.0,12013480000.0,45650000.0,52682631795.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(3.544.860.903),(2.139.852.400),(386.384.150),(6.071.097.453),-3544860903.0,-2139852400.0,-386384150.0,-6071097453.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.544.860.903),(2.139.852.400),(386.384.150),(6.071.097.453),-3544860903.0,-2139852400.0,-386384150.0,-6071097453.0
Ngày 31 tháng 12 năm 2023,Nguyên giá > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,366.364.329.841,39.587.633.582,3.127.544.903,409.079.508.326,366364329841.0,39587633582.0,3127544903.0,409079508326.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Ngày 01 tháng 01 năm 2023,Giá trị hao mòn lũy kế > Ngày 01 tháng 01 năm 2023,Ngày 01 tháng 01 năm 2023,165.733.471.795,14.160.955.798,2.133.751.263,182.028.178.856,165733471795.0,14160955798.0,2133751263.0,182028178856.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,54.662.980.729,3.414.101.926,486.282.883,58.563.365.538,54662980729.0,3414101926.0,486282883.0,58563365538.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,54.662.980.729,3.414.101.926,486.282.883,58.563.365.538,54662980729.0,3414101926.0,486282883.0,58563365538.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(3.516.756.179),(2.139.852.400),(257.667.524),(5.914.276.103),-3516756179.0,-2139852400.0,-257667524.0,-5914276103.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.516.756.179),(2.139.852.400),(257.667.524),(5.914.276.103),-3516756179.0,-2139852400.0,-257667524.0,-5914276103.0
Ngày 31 tháng 12 năm 2023,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,216.879.696.345,15.435.205.324,2.362.366.622,234.677.268.291,216879696345.0,15435205324.0,2362366622.0,234677268291.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 01 tháng 01 năm 2023,Giá trị còn lại > Ngày 01 tháng 01 năm 2023,Ngày 01 tháng 01 năm 2023,163.552.217.154,15.553.050.184,1.334.527.790,180.439.795.128,163552217154.0,15553050184.0,1334527790.0,180439795128.0
Ngày 31 tháng 12 năm 2023,Giá trị còn lại > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,149.484.633.496,24.152.428.258,765.178.281,174.402.240.035,149484633496.0,24152428258.0,765178281.0,174402240035.0
