row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,1.014.775.901.073,1.006.797.033.100,545.312.296.959,504.561.968.640,1014775901073.0,1006797033100.0,545312296959.0,504561968640.0
VPB,VPB,VPB,384.885.101.433,385.288.704.000,24.445.330.307,24.503.363.700,384885101433.0,385288704000.0,24445330307.0,24503363700.0
HPG,HPG,HPG,56.113.356.069,57.405.946.000,19.282.803.312,17.873.388.000,56113356069.0,57405946000.0,19282803312.0,17873388000.0
FPT,FPT,FPT,92.036.132.250,89.066.729.300,23.803.985.453,23.378.753.500,92036132250.0,89066729300.0,23803985453.0,23378753500.0
Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,481.741.311.321,475.035.653.800,477.780.177.887,438.806.463.440,481741311321.0,475035653800.0,477780177887.0,438806463440.0
Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,493.864.555.823,493.694.236.100,32.345.419.551,31.633.886.250,493864555823.0,493694236100.0,32345419551.0,31633886250.0
FPT,FPT,FPT,24.264.110.048,23.481.266.200,1.344.075.833,1.320.065.400,24264110048.0,23481266200.0,1344075833.0,1320065400.0
HPG,HPG,HPG,184.674.544.091,188.928.584.000,305.544.830,283.212.000,184674544091.0,188928584000.0,305544830.0,283212000.0
STB,STB,STB,164.653.856.434,160.505.670.000,7.620.371.478,7.643.722.500,164653856434.0,160505670000.0,7620371478.0,7643722500.0
ACB,ACB,ACB,29.832.121.637,30.310.434.100,931.853.679,899.936.700,29832121637.0,30310434100.0,931853679.0,899936700.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,90.439.923.613,90.468.281.800,22.143.573.731,21.486.949.650,90439923613.0,90468281800.0,22143573731.0,21486949650.0
Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,263.186.085.677,251.045.110.822,576.830.917.590,559.224.387.540,263186085677.0,251045110822.0,576830917590.0,559224387540.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,1.394.942.311.067,1.309.402.974.100,725.141.081.348,718.194.237.616,1394942311067.0,1309402974100.0,725141081348.0,718194237616.0
Trái phiếu chưa niêm yết (1),Trái phiếu chưa niêm yết (1),Trái phiếu chưa niêm yết (1),10.680.989.784.540,10.680.989.784.540,12.175.839.946.558,12.175.839.946.558,10680989784540.0,10680989784540.0,12175839946558.0,12175839946558.0
Chứng chỉ tiền gửi (2),Chứng chỉ tiền gửi (2),Chứng chỉ tiền gửi (2),29.990.192.789.498,29.990.192.789.498,16.289.790.890.390,16.289.790.890.390,29990192789498.0,29990192789498.0,16289790890390.0,16289790890390.0
Tổng cộng,Tổng cộng,Tổng cộng,43.837.951.427.678,43.732.121.928.160,30.345.260.552.396,30.279.245.316.994,43837951427678.0,43732121928160.0,30345260552396.0,30279245316994.0
