row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2023,Quá hạn(bao gồm số dư đã trich lập dư phòng) > Ngày 31 tháng 12 năm 2023,Không kỳ hạn > Ngày 31 tháng 12 năm 2023,Đến 01 năm > Ngày 31 tháng 12 năm 2023,Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2023,Trên 05 năm > Ngày 31 tháng 12 năm 2023,Tổng cộng > Ngày 31 tháng 12 năm 2023,numeric__Quá hạn(bao gồm số dư đã trich lập dư phòng) > Ngày 31 tháng 12 năm 2023,numeric__Không kỳ hạn > Ngày 31 tháng 12 năm 2023,numeric__Đến 01 năm > Ngày 31 tháng 12 năm 2023,numeric__Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2023,numeric__Trên 05 năm > Ngày 31 tháng 12 năm 2023,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2023
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền,TÀI SẢN > Tiền,Tiền,-,455.799.610.357,-,-,-,455.799.610.357,,455799610357.0,,,,455799610357.0
Tài sản tài chính,TÀI SẢN > Tài sản tài chính,Tài sản tài chính,450.007.856,44.609.822.738.703,19.549.476.971.562,-,3.051.844.459.522,67.211.594.177.643,450007856.0,44609822738703.0,19549476971562.0,,3051844459522.0,67211594177643.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ,TÀI SẢN > Tài sản tài chính ghi nhận thông qua lãi/lỗ,Tài sản tài chính ghi nhận thông qua lãi/lỗ,-,43.732.121.928.160,-,-,-,43.732.121.928.160,,43732121928160.0,,,,43732121928160.0
Giữ đến ngày đào hạn,TÀI SẢN > Giữ đến ngày đào hạn,Giữ đến ngày đào hạn,-,-,4.877.808.937.021,-,2.171.558.577.993,7.049.367.515.014,,,4877808937021.0,,2171558577993.0,7049367515014.0
Các khoản cho vay,TÀI SẢN > Các khoản cho vay,Các khoản cho vay,450.007.856,461.946.971.023,14.671.668.034.541,-,-,15.134.065.013.420,450007856.0,461946971023.0,14671668034541.0,,,15134065013420.0
Sản sáng để bán,TÀI SẢN > Sản sáng để bán,Sản sáng để bán,-,415.753.839.520,-,-,-,415.753.839.520,,415753839520.0,,,,415753839520.0
Góp vốn đầu tư dài hạn,TÀI SẢN > Góp vốn đầu tư dài hạn,Góp vốn đầu tư dài hạn,-,-,-,-,880.285.881.529,880.285.881.529,,,,,880285881529.0,880285881529.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,232.271.747.235,460.952.065.249,-,294.096.740.295,-,987.320.552.779,232271747235.0,460952065249.0,,294096740295.0,,987320552779.0
"Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > Các khoản cầm cố, ký quỹ, ký cược","Các khoản cầm cố, ký quỹ, ký cược",-,33.670.194.628,-,-,-,33.670.194.628,,33670194628.0,,,,33670194628.0
