row_label_raw,row_label_full,Năm 2023,Môi giới và dịch vụ khách hàng (1) > Năm 2023,Tự doanh > Năm 2023,Kinh doanh nguồn vốn > Năm 2023,Ngân hàng đầu tư và các bộ phận khác > Năm 2023,Đơn vị tính: VND Tổng cộng > Năm 2023,numeric__Môi giới và dịch vụ khách hàng (1) > Năm 2023,numeric__Tự doanh > Năm 2023,numeric__Kinh doanh nguồn vốn > Năm 2023,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2023,numeric__Đơn vị tính: VND Tổng cộng > Năm 2023
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,3.134.714.119.088,3.127.961.707.387,669.456.997.570,52.085.061.213,6.984.217.885.258,3134714119088.0,3127961707387.0,669456997570.0,52085061213.0,6984217885258.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,1.872.407.166.956,1.609.710.698.905,429.118.923.226,46.777.554.236,3.958.014.343.323,1872407166956.0,1609710698905.0,429118923226.0,46777554236.0,3958014343323.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,234.861.299.317,28.591.531.314,20.825.930.217,36.613.846.498,320.892.607.346,234861299317.0,28591531314.0,20825930217.0,36613846498.0,320892607346.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,1.027.445.652.815,1.489.659.477.168,219.512.144.127,(31.306.339.521),2.705.310.934.589,1027445652815.0,1489659477168.0,219512144127.0,-31306339521.0,2705310934589.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2023 > 1. Tài sản bộ phận,1. Tài sản bộ phận,15.168.708.348.625,45.363.816.663.543,7.050.949.848.344,5.961.319.067,67.589.436.179.579,15168708348625.0,45363816663543.0,7050949848344.0,5961319067.0,67589436179579.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2023 > 2. Tài sản phân bổ,2. Tài sản phân bổ,319.095.676.006,38.846.051.007,28.295.271.721,49.745.616.385,435.982.615.119,319095676006.0,38846051007.0,28295271721.0,49745616385.0,435982615119.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2023 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,,,,,494.033.750.199,,,,,494033750199.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2023 > Tổng tài sản,Tổng tài sản,15.487.804.024.631,45.402.662.714.550,7.079.245.120.065,55.706.935.452,68.519.452.544.897,15487804024631.0,45402662714550.0,7079245120065.0,55706935452.0,68519452544897.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2023 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,10.848.000.563.525,30.970.788.952.037,3.316.184.623.380,4.230.683.500,45.139.204.822.442,10848000563525.0,30970788952037.0,3316184623380.0,4230683500.0,45139204822442.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2023 > 5. Nợ phân bổ,5. Nợ phân bổ,292.914.573.043,35.658.817.404,25.973.706.504,45.664.097.259,400.211.194.210,292914573043.0,35658817404.0,25973706504.0,45664097259.0,400211194210.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2023 > 6. Nợ không phân bổ,6. Nợ không phân bổ,,,,,395.576.902.978,,,,,395576902978.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2023 > Tổng công nợ,Tổng công nợ,11.140.915.136.568,31.006.447.769.441,3.342.158.329.884,49.894.780.759,45.934.992.919.630,11140915136568.0,31006447769441.0,3342158329884.0,49894780759.0,45934992919630.0
