row_label_raw,row_label_full,Các loại tài sảntài chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,43.837.951.427.678,16.929.622.351,(122.759.121.869),43.732.121.928.160,30.345.260.552.396,2.355.302.367,(68.370.537.769),30.279.245.316.994,43837951427678.0,16929622351.0,-122759121869.0,43732121928160.0,30345260552396.0,2355302367.0,-68370537769.0,30279245316994.0
Cổ phiếu vàchứng khoànniêm yết khác,Cổ phiếu vàchứng khoànniêm yết khác,Cổ phiếu vàchứng khoànniêm yết khác,1.014.775.901.073,3.592.408.983,(11.571.276.956),1.006.797.033.100,545.312.296.959,110.514.308,(40.860.842.627),504.561.968.640,1014775901073.0,3592408983.0,-11571276956.0,1006797033100.0,545312296959.0,110514308.0,-40860842627.0,504561968640.0
Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,493.864.555.823,5.048.744.720,(5.219.064.443),493.694.236.100,32.345.419.551,40.634.964,(752.168.265),31.633.886.250,493864555823.0,5048744720.0,-5219064443.0,493694236100.0,32345419551.0,40634964.0,-752168265.0,31633886250.0
Cổ phiếu vàChứng chỉ quỹchưa niêm yết,Cổ phiếu vàChứng chỉ quỹchưa niêm yết,Cổ phiếu vàChứng chỉ quỹchưa niêm yết,263.186.085.677,7.669.708.296,(19.810.683.151),251.045.110.822,576.830.917.590,2.204.153.095,(19.810.683.145),559.224.387.540,263186085677.0,7669708296.0,-19810683151.0,251045110822.0,576830917590.0,2204153095.0,-19810683145.0,559224387540.0
Trái phiếu niêmyết,Trái phiếu niêmyết,Trái phiếu niêmyết,1.394.942.311.067,618.760.352,(86.158.097.319),1.309.402.974.100,725.141.081.348,-,(6.946.843.732),718.194.237.616,1394942311067.0,618760352.0,-86158097319.0,1309402974100.0,725141081348.0,,-6946843732.0,718194237616.0
Trái phiếu churaniêm yết,Trái phiếu churaniêm yết,Trái phiếu churaniêm yết,10.680.989.784.540,-,-,10.680.989.784.540,12.175.839.946.558,-,-,12.175.839.946.558,10680989784540.0,,,10680989784540.0,12175839946558.0,,,12175839946558.0
Chứng chỉ tiềngửi,Chứng chỉ tiềngửi,Chứng chỉ tiềngửi,29.990.192.789.498,-,-,29.990.192.789.498,16.289.790.890.390,-,-,16.289.790.890.390,29990192789498.0,,,29990192789498.0,16289790890390.0,,,16289790890390.0
AFS,AFS,AFS,420.495.130.906,-,(4.741.291.386),415.753.839.520,389.566.237.912,4.320.734.436,(12.178.716.744),381.708.255.604,420495130906.0,,-4741291386.0,415753839520.0,389566237912.0,4320734436.0,-12178716744.0,381708255604.0
Cổ phiếu niêmyết,Cổ phiếu niêmyết,Cổ phiếu niêmyết,-,-,-,-,125.504.190.922,4.320.734.436,(7.437.425.358),122.387.500.000,,,,,125504190922.0,4320734436.0,-7437425358.0,122387500000.0
Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,383.215.748.440,-,(4.741.291.386),378.474.457.054,241.682.764.524,-,(4.741.291.386),236.941.473.138,383215748440.0,,-4741291386.0,378474457054.0,241682764524.0,,-4741291386.0,236941473138.0
Trái phiếu churaniêm yết,Trái phiếu churaniêm yết,Trái phiếu churaniêm yết,37.279.382.466,-,-,37.279.382.466,22.379.282.466,-,-,22.379.282.466,37279382466.0,,,37279382466.0,22379282466.0,,,22379282466.0
Tổng cộng,Tổng cộng,Tổng cộng,44.258.446.558.584,16.929.622.351,(127.500.413.255),44.147.875.767.680,30.734.826.790.308,6.676.036.803,(80.549.254.513),30.660.953.572.598,44258446558584.0,16929622351.0,-127500413255.0,44147875767680.0,30734826790308.0,6676036803.0,-80549254513.0,30660953572598.0
