row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,Số dư đầu năm > Ngày 01 tháng 01 năm 2022 > VND,Số dư đầu năm > Ngày 01 tháng 01 năm 2023 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2022 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2023 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2022 > VND,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2023 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2022 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2023 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,10.642.685.440.635,18.191.406.836.235,7.544.558.359.871,4.163.035.729,100.000.000.000,(12.000.000),18.191.406.836.235,18.291.394.836.235,,10642685440635.0,18191406836235.0,7544558359871.0,4163035729.0,100000000000.0,-12000000.0,18191406836235.0,18291394836235.0
1.1. Cổ phiếu phổ thông,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 1.1. Cổ phiếu phổ thông,1.1. Cổ phiếu phổ thông,,9.847.500.220.000,14.911.301.370.000,5.063.801.150.000,-,100.000.000.000,-,14.911.301.370.000,15.011.301.370.000,,9847500220000.0,14911301370000.0,5063801150000.0,,100000000000.0,,14911301370000.0,15011301370000.0
1.2. Thắng dư vốn cổ phần,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 1.2. Thắng dư vốn cổ phần,1.2. Thắng dư vốn cổ phần,,817.169.133.373,3.299.220.472.644,2.482.124.439.271,(73.100.000),-,(12.000.000),3.299.220.472.644,3.299.208.472.644,,817169133373.0,3299220472644.0,2482124439271.0,-73100000.0,,-12000000.0,3299220472644.0,3299208472644.0
1.3. Cổ phiếu quỹ,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 1.3. Cổ phiếu quỹ,1.3. Cổ phiếu quỹ,,(21.983.912.738),(19.115.006.409),(1.367.229.400),4.236.135.729,-,-,(19.115.006.409),(19.115.006.409),,-21983912738.0,-19115006409.0,-1367229400.0,4236135729.0,,,-19115006409.0,-19115006409.0
2. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,,58.252.419.507,58.252.419.507,-,-,-,-,58.252.419.507,58.252.419.507,,58252419507.0,58252419507.0,,,,,58252419507.0,58252419507.0
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,492.932.169.472,-,-,(492.932.169.472),-,-,-,-,,492932169472.0,,,-492932169472.0,,,,
4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,(3.793.033.106),(6.286.385.840),4.320.734.436,(6.814.087.170),38.110.659.605,(35.617.306.871),(6.286.385.840),(3.793.033.106),,-3793033106.0,-6286385840.0,4320734436.0,-6814087170.0,38110659605.0,-35617306871.0,-6286385840.0,-3793033106.0
5. Lợi nhuận chưa phân phối,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 5. Lợi nhuận chưa phân phối,5. Lợi nhuận chưa phân phối,,2.696.910.415.549,3.615.810.844.894,2.576.266.538.991,(1.657.366.109.646),2.463.208.594.761,(1.840.414.037.024),3.615.810.844.894,4.238.605.402.631,,2696910415549.0,3615810844894.0,2576266538991.0,-1657366109646.0,2463208594761.0,-1840414037024.0,3615810844894.0,4238605402631.0
5.1. Lợi nhuận đã thực hiện,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 5.1. Lợi nhuận đã thực hiện,5.1. Lợi nhuận đã thực hiện,,2.577.927.084.160,3.741.204.302.563,2.343.975.068.984,(1.180.697.850.581),2.119.481.684.033,(1.552.531.599.221),3.741.204.302.563,4.308.154.387.375,,2577927084160.0,3741204302563.0,2343975068984.0,-1180697850581.0,2119481684033.0,-1552531599221.0,3741204302563.0,4308154387375.0
5.2. Lợi nhuận chưa thực hiện,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 5.2. Lợi nhuận chưa thực hiện,5.2. Lợi nhuận chưa thực hiện,,118.983.331.389,(125.393.457.669),232.291.470.007,(476.668.259.065),343.726.910.728,(287.882.437.803),(125.393.457.669),(69.548.984.744),,118983331389.0,-125393457669.0,232291470007.0,-476668259065.0,343726910728.0,-287882437803.0,-125393457669.0,-69548984744.0
TỔNG CỘNG,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > TỔNG CỘNG,TỔNG CỘNG,27,13.886.987.412.057,21.859.183.714.796,10.125.145.633.298,(2.152.949.330.559),2.601.319.254.366,(1.876.043.343.895),21.859.183.714.796,22.584.459.625.267,27.0,13886987412057.0,21859183714796.0,10125145633298.0,-2152949330559.0,2601319254366.0,-1876043343895.0,21859183714796.0,22584459625267.0
