row_label_raw,row_label_full,col_0,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
,,,Phần mềm (trình bày lại),Phần mềm (trình bày lại),,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Ngày 01 tháng 01 năm 2023,Nguyên giá > Ngày 01 tháng 01 năm 2023,Ngày 01 tháng 01 năm 2023,,226.905.475.038,,226905475038.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,,33.163.496.282,,33163496282.0
Mua mới,Nguyên giá > Mua mới,Mua mới,,33.163.496.282,,33163496282.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,,(16.789.129.203),,-16789129203.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(16.789.129.203),,-16789129203.0
Ngày 31 tháng 12 năm 2023,Nguyên giá > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,,243.279.842.117,,243279842117.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Ngày 01 tháng 01 năm 2023,Giá trị hao mòn lũy kế > Ngày 01 tháng 01 năm 2023,Ngày 01 tháng 01 năm 2023,,132.862.068.035,,132862068035.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,,35.314.677.583,,35314677583.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,,35.314.677.583,,35314677583.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,,(16.789.129.203),,-16789129203.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(16.789.129.203),,-16789129203.0
Ngày 31 tháng 12 năm 2023,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,,151.387.616.415,,151387616415.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Ngày 01 tháng 01 năm 2023,Giá trị còn lại > Ngày 01 tháng 01 năm 2023,Ngày 01 tháng 01 năm 2023,,94.043.407.003,,94043407003.0
Ngày 31 tháng 12 năm 2023,Giá trị còn lại > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,,91.892.225.702,,91892225702.0
Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,,
,,,Số cuối năm,Đơn vị tính: VND,,
,,,Số cuối năm,Số đầu năm,,
Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,Các thông tin khác về tài sản cố định vô hình: > Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,67.983.617.650,76.225.074.641,67983617650.0,76225074641.0
