row_label_raw,row_label_full,Thuế giá trị gia tăng,Số cuối năm > 326.608.629,Đơn vị tính: VND > Số đầu năm > 720.763.429,numeric__Số cuối năm > 326.608.629,numeric__Đơn vị tính: VND > Số đầu năm > 720.763.429
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,279.017.935.788,32.695.176.094,279017935788.0,32695176094.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,58.426.339.576,73.449.627.457,58426339576.0,73449627457.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,9.686.213.180,5.907.528.831,9686213180.0,5907528831.0
Tổng cộng,Tổng cộng,Tổng cộng,347.457.097.173,112.773.095.811,347457097173.0,112773095811.0
