row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu(chỉ phí),numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu(chỉ phí)
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Ngày 01 tháng 01năm 2023,Tăng trong năm,Giảm trong năm,Ngày 31 tháng 12năm 2023,Doanh thu(chỉ phí),,,,,,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Góp vốn đầu tư,404.000.000.000,-,-,404.000.000.000,-,,404000000000.0,,,404000000000.0,
Quỹ đầu tư Công nghệ số và Y tế Việt Nam,Công ty liên quan > Quỹ đầu tư Công nghệ số và Y tế Việt Nam,Quỹ đầu tư Công nghệ số và Y tế Việt Nam,Góp vốn đầu tư,10.000.000.000,-,-,10.000.000.000,-,,10000000000.0,,,10000000000.0,
Quỹ đầu tư Công nghệ số và Y tế Việt Nam,Công ty liên quan > Quỹ đầu tư Công nghệ số và Y tế Việt Nam,Quỹ đầu tư Công nghệ số và Y tế Việt Nam,Giao dịch mua chứng chỉ tiền gửi,-,(50.150.712.825),50.150.712.825,-,-,,,-50150712825.0,50150712825.0,,
Công ty Cổ phầnCông Nghệ số SSI,Công ty liên quan > Công ty Cổ phầnCông Nghệ số SSI,Công ty Cổ phầnCông Nghệ số SSI,Mua hàng hóa dịch vụ,-,33.887.469.042,33.887.469.042,-,-,,,33887469042.0,33887469042.0,,
Công ty Cổ phầnCông Nghệ số SSI,Công ty liên quan > Công ty Cổ phầnCông Nghệ số SSI,Công ty Cổ phầnCông Nghệ số SSI,Nhận hợp đồng quản lý tiền gửi,-,(23.733.222.112),23.733.222.112,-,-,,,-23733222112.0,23733222112.0,,
Công ty Cổ phầnCông Nghệ số SSI,Công ty liên quan > Công ty Cổ phầnCông Nghệ số SSI,Công ty Cổ phầnCông Nghệ số SSI,Lãi hợp đồng quản lý tiền gửi phải trả,-,(2.712.127),2.712.127,-,(2.712.127),,,-2712127.0,2712127.0,,-2712127.0
Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty TNHH Quản lýQuỹ SSI (SSIAM),Góp vốn đầu tư,75.000.000.000,-,-,75.000.000.000,-,,75000000000.0,,,75000000000.0,
Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty TNHH Quản lýQuỹ SSI (SSIAM),Doanh thu giao dịch và dịch vụ chứng khoán khác,165.378.065,2.952.268.885,(3.075.613.100),42.033.850,2.909.018.859,,165378065.0,2952268885.0,-3075613100.0,42033850.0,2909018859.0
Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty TNHH Quản lýQuỹ SSI (SSIAM),Số dư danh mục ủy thác đầu tư,596.081.897.683,2.490.613.037.831,(2.539.781.129.819),546.913.805.695,-,,596081897683.0,2490613037831.0,-2539781129819.0,546913805695.0,
Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty TNHH Quản lýQuỹ SSI (SSIAM),Phí quản lý Danh mục,(9.583.913.552),(26.948.416.360),22.483.846.898,(14.048.483.014),(26.948.416.360),,-9583913552.0,-26948416360.0,22483846898.0,-14048483014.0,-26948416360.0
Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty TNHH Quản lýQuỹ SSI (SSIAM),Giao dịch mua chứng khoán,-,(60.320.547.960),60.320.547.960,-,-,,,-60320547960.0,60320547960.0,,
Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty TNHH Quản lýQuỹ SSI (SSIAM),Các khoản phải thu khác,-,223.440.000,(223.440.000),-,-,,,223440000.0,-223440000.0,,
Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty TNHH Quản lýQuỹ SSI (SSIAM),Phí giao dịch phải trả,-,(1.006.838.751),1.006.838.751,-,(1.006.838.751),,,-1006838751.0,1006838751.0,,-1006838751.0
Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lýQuỹ SSI (SSIAM),Công ty TNHH Quản lýQuỹ SSI (SSIAM),Phải trả khác,-,(2.805.685.758),2.336.205.714,(469.480.044),(1.901.192.950),,,-2805685758.0,2336205714.0,-469480044.0,-1901192950.0
Công ty TNHH Đầu tưNDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tưNDH và công ty con,Công ty TNHH Đầu tưNDH và công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,324.487.250,(324.487.250),-,324.487.250,,,324487250.0,-324487250.0,,324487250.0
Công ty TNHH Đầu tưNDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tưNDH và công ty con,Công ty TNHH Đầu tưNDH và công ty con,"Giao dịch bán chứng khoán, chứng chỉ tiền gửi",-,1.112.093.412.504,(1.112.093.412.504),-,2.722.552.764,,,1112093412504.0,-1112093412504.0,,2722552764.0
Công ty TNHH Đầu tưNDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tưNDH và công ty con,Công ty TNHH Đầu tưNDH và công ty con,"Giao dịch mua chứng khoán, chứng chỉ tiền gửi",-,(11.886.156.752.400),11.886.156.752.400,-,-,,,-11886156752400.0,11886156752400.0,,
