row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,Số dư đầu năm > Ngày 01 tháng 01 năm 2022 > VND,Số dư đầu năm > Ngày 01 tháng 01 năm 2023 > VND,Số tăng/giám > Năm trước > Tăng > VND,Số tăng/giám > Năm trước > Giám > VND,Số tăng/giám > Năm nay > Tăng > VND,Số tăng/giám > Năm nay > Giám > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2022 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2023 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2022 > VND,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2023 > VND,numeric__Số tăng/giám > Năm trước > Tăng > VND,numeric__Số tăng/giám > Năm trước > Giám > VND,numeric__Số tăng/giám > Năm nay > Tăng > VND,numeric__Số tăng/giám > Năm nay > Giám > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2022 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2023 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
II. THU NHẬP TOÀN DIỆN KHÁC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,II. THU NHẬP TOÀN DIỆN KHÁC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,II. THU NHẬP TOÀN DIỆN KHÁC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,,(3.793.033.106),(6.286.385.840),4.320.734.436,(6.814.087.170),38.110.659.605,(35.617.306.871),(6.286.385.840),(3.793.033.106),,-3793033106.0,-6286385840.0,4320734436.0,-6814087170.0,38110659605.0,-35617306871.0,-6286385840.0,-3793033106.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,40,(3.793.033.106),(6.286.385.840),4.320.734.436,(6.814.087.170),38.110.659.605,(35.617.306.871),(6.286.385.840),(3.793.033.106),40.0,-3793033106.0,-6286385840.0,4320734436.0,-6814087170.0,38110659605.0,-35617306871.0,-6286385840.0,-3793033106.0
