row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Thiết bịvăn phòng,Phương tiệnvận tải và thiếtbj truyền dẫn,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvăn phòng,numeric__Phương tiệnvận tải và thiếtbj truyền dẫn,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.916.203.965.003,11.233.915.130.062,214.343.265.911,97.552.201.510,59.635.237.927,15.521.649.800.413,3916203965003.0,11233915130062.0,214343265911.0,97552201510.0,59635237927.0,15521649800413.0
Mua sắm mới trong năm,NGUYÊN GIÁ > Mua sắm mới trong năm,Mua sắm mới trong năm,4.262.016.841,180.988.214.900,20.741.031.483,17.103.066.214,-,223.094.329.438,4262016841.0,180988214900.0,20741031483.0,17103066214.0,,223094329438.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,174.692.373.787,61.957.820.679,-,-,-,236.650.194.466,174692373787.0,61957820679.0,,,,236650194466.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(169.991.500),(2.521.710.000),(816.748.249),(3.508.449.749),,,-169991500.0,-2521710000.0,-816748249.0,-3508449749.0
Tăng/(Giám) khác,NGUYÊN GIÁ > Tăng/(Giám) khác,Tăng/(Giám) khác,(5.748.258.230),3.182.570.220,(14.624.388),622.489.725,-,(1.957.822.673),-5748258230.0,3182570220.0,-14624388.0,622489725.0,,-1957822673.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,4.089.410.097.401,11.480.043.735.861,234.899.681.506,112.756.047.449,58.818.489.678,15.975.928.051.895,4089410097401.0,11480043735861.0,234899681506.0,112756047449.0,58818489678.0,15975928051895.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.350.370.557.473,10.717.446.736.576,113.029.916.273,63.108.154.012,59.635.237.927,14.303.590.602.261,3350370557473.0,10717446736576.0,113029916273.0,63108154012.0,59635237927.0,14303590602261.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,104.723.708.772,123.638.265.257,35.168.645.550,8.908.069.898,-,272.438.689.477,104723708772.0,123638265257.0,35168645550.0,8908069898.0,,272438689477.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(169.991.500),(2.521.710.000),(816.748.249),(3.508.449.749),,,-169991500.0,-2521710000.0,-816748249.0,-3508449749.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.455.094.266.245,10.841.085.001.833,148.028.570.323,69.494.513.910,58.818.489.678,14.572.520.841.989,3455094266245.0,10841085001833.0,148028570323.0,69494513910.0,58818489678.0,14572520841989.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,565.833.407.530,516.468.393.486,101.313.349.638,34.444.047.498,-,1.218.059.198.152,565833407530.0,516468393486.0,101313349638.0,34444047498.0,,1218059198152.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,634.315.831.156,638.958.734.028,86.871.111.183,43.261.533.539,-,1.403.407.209.906,634315831156.0,638958734028.0,86871111183.0,43261533539.0,,1403407209906.0
