row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.294.000.000.000,2.587.697.003.792,2.044.029.737.497,9.925.726.741.289,5294000000000.0,2587697003792.0,2044029737497.0,9925726741289.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,1.233.726.454.412,1.233.726.454.412,,,1233726454412.0,1233726454412.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2024,Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2024,Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2024,-,370.117.936.324,(370.117.936.324),-,,370117936324.0,-370117936324.0,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2024","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2024","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2024",-,-,(151.174.655.000),(151.174.655.000),,,-151174655000.0,-151174655000.0
"Điều chỉnh Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2023","Điều chỉnh Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2023","Điều chỉnh Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2023",-,-,(3.147.709),(3.147.709),,,-3147709.0,-3147709.0
Chia cổ tức từ lợi nhuận năm 2023,Chia cổ tức từ lợi nhuận năm 2023,Chia cổ tức từ lợi nhuận năm 2023,-,-,(1.058.800.000.000),(1.058.800.000.000),,,-1058800000000.0,-1058800000000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,2.957.814.940.116,1.697.660.452.876,9.949.475.392.992,5294000000000.0,2957814940116.0,1697660452876.0,9949475392992.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,1.988.367.367.960,1.988.367.367.960,,,1988367367960.0,1988367367960.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2025 (i),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2025 (i),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2025 (i),-,587.943.730.349,(587.943.730.349),-,,587943730349.0,-587943730349.0,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2025 (i)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2025 (i)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2025 (i)",-,-,(263.504.263.333),(263.504.263.333),,,-263504263333.0,-263504263333.0
"Điều chỉnh Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2024 (ii)","Điều chỉnh Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2024 (ii)","Điều chỉnh Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2024 (ii)",-,-,(17.562.690.000),(17.562.690.000),,,-17562690000.0,-17562690000.0
Chia cổ tức từ lợi nhuận năm 2024,Chia cổ tức từ lợi nhuận năm 2024,Chia cổ tức từ lợi nhuận năm 2024,-,-,(1.058.800.000.000),(1.058.800.000.000),,,-1058800000000.0,-1058800000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.294.000.000.000,3.545.758.670.465,1.758.217.137.154,10.597.975.807.619,5294000000000.0,3545758670465.0,1758217137154.0,10597975807619.0
