row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã bù trừ trong năm,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã bù trừ trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,104.855.724,-,-,-,104.855.724,104855724.0,,,,104855724.0
Tiền thuê đất,a. Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,397.346.605,9.145.000.709,-,9.145.000.709,397.346.605,397346605.0,9145000709.0,,9145000709.0,397346605.0
,,,502.202.329,9.145.000.709,-,9.145.000.709,502.202.329,502202329.0,9145000709.0,,9145000709.0,502202329.0
b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,,,,,
Thuế giá trị gia tăng đầu ra,b. Các khoản phải nộp > Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,-,251.619.825.214,251.607.463.405,12.287.735,74.074,,251619825214.0,251607463405.0,12287735.0,74074.0
Thuế giá trị gia tăng hàng nhập khẩu,b. Các khoản phải nộp > Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,-,124.906.346.173,-,124.906.346.173,-,,124906346173.0,,124906346173.0,
Thuế xuất khẩu,b. Các khoản phải nộp > Thuế xuất khẩu,Thuế xuất khẩu,-,204.647.249.067,-,204.647.249.067,-,,204647249067.0,,204647249067.0,
Thuế nhập khẩu,b. Các khoản phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,47.274.295.294,-,47.274.295.294,-,,47274295294.0,,47274295294.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,35.218.721.377,257.978.110.515,-,220.405.328.838,72.791.503.054,35218721377.0,257978110515.0,,220405328838.0,72791503054.0
Thuế thu nhập cá nhân,b. Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,14.323.617.020,120.727.302.996,-,129.812.078.489,5.238.841.527,14323617020.0,120727302996.0,,129812078489.0,5238841527.0
Thuế tài nguyên,b. Các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,229.003.200,2.819.766.265,-,2.819.766.265,229.003.200,229003200.0,2819766265.0,,2819766265.0,229003200.0
"Thuế, phí và các khoản lệ phí khác","b. Các khoản phải nộp > Thuế, phí và các khoản lệ phí khác","Thuế, phí và các khoản lệ phí khác",18.625.000,4.635.785.357,-,4.654.410.357,-,18625000.0,4635785357.0,,4654410357.0,
,,,49.789.966.597,1.014.608.680.881,251.607.463.405,734.531.762.218,78.259.421.855,49789966597.0,1014608680881.0,251607463405.0,734531762218.0,78259421855.0
